Region,cluster_label,urbanisation_degree,education_level,age_class,sex,commute_bin,percentage
Bulgaria,Low-HO,Total,ISCED 3–4,50-74,male,percentage_15_29,38.19
Slovakia,Low-HO,Total,ISCED 3–4,35-49,female,percentage_15_29,44.13
Finland,High-HO,Cities,All ISCED 2011 levels,15-34,female,percentage_15_29,44.90
Sweden,High-HO,Total,ISCED 3–4,15-34,male,percentage_15_29,31.35
France,Mid-HO,Total,ISCED 5–8,35-49,male,percentage_15_29,29.47
Belgium,High-HO,Total,ISCED 0–2,35-49,male,percentage_15_29,34.20
Poland,Mid-HO,Towns and suburbs,ISCED 5–8,35-49,female,percentage_15_29,38.74
Türkiye,Low-HO,No response,ISCED 0–2,50-74,male,percentage_15_29,27.01
Netherlands,High-HO,Cities,ISCED 3–4,35-49,female,percentage_15_29,34.78
Czechia,Low-HO,Total,ISCED 5–8,35-49,female,percentage_15_29,40.97
Portugal,Mid-HO,Rural areas,ISCED 0–2,50-74,female,percentage_15_29,24.77
Czechia,Low-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_15_29,30.68
Lithuania,Low-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_15_29,29.60
Austria,Mid-HO,Rural areas,ISCED 5–8,15-34,female,percentage_15_29,33.37
Czechia,Low-HO,Cities,ISCED 3–4,35-49,female,percentage_15_29,33.97
Sweden,High-HO,Cities,ISCED 5–8,35-49,male,percentage_15_29,6.85
Poland,Mid-HO,Total,ISCED 0–2,35-49,male,percentage_15_29,35.61
Italy,Low-HO,Total,All ISCED 2011 levels,50-74,male,percentage_15_29,28.07
Poland,Mid-HO,Total,ISCED 0–2,35-49,female,percentage_15_29,27.49
France,Mid-HO,Total,All ISCED 2011 levels,35-49,female,percentage_15_29,35.23
Belgium,High-HO,Rural areas,ISCED 3–4,15-34,female,percentage_15_29,36.43
Latvia,Low-HO,Total,All ISCED 2011 levels,15-34,male,percentage_15_29,26.25
Poland,Mid-HO,Rural areas,ISCED 0–2,50-74,male,percentage_15_29,20.76
Ireland,Mid-HO,Total,ISCED 5–8,15-34,female,percentage_15_29,7.94
Greece,Low-HO,Rural areas,ISCED 3–4,15-34,male,percentage_15_29,41.69
France,Mid-HO,Total,ISCED 3–4,35-49,female,percentage_15_29,36.10
Türkiye,Low-HO,No response,All ISCED 2011 levels,15-34,female,percentage_15_29,32.26
Romania,Low-HO,Total,ISCED 5–8,35-49,male,percentage_15_29,33.05
Germany,Mid-HO,Total,ISCED 0–2,15-34,female,percentage_15_29,27.16
Portugal,Mid-HO,Cities,ISCED 5–8,35-49,male,percentage_15_29,5.30
Belgium,High-HO,Total,ISCED 3–4,15-34,male,percentage_15_29,33.74
Hungary,Low-HO,Total,ISCED 5–8,50-74,female,percentage_15_29,27.60
Germany,Mid-HO,Towns and suburbs,ISCED 3–4,15-34,male,percentage_15_29,4.40
Finland,High-HO,Towns and suburbs,ISCED 3–4,50-74,male,percentage_15_29,37.92
Italy,Low-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_15_29,29.20
Portugal,Mid-HO,Rural areas,ISCED 0–2,35-49,female,percentage_15_29,30.33
Slovakia,Low-HO,Cities,All ISCED 2011 levels,15-34,female,percentage_15_29,58.36
Portugal,Mid-HO,Total,ISCED 3–4,35-49,female,percentage_15_29,30.89
Romania,Low-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_15_29,6.35
Portugal,Mid-HO,Total,ISCED 0–2,50-74,female,percentage_15_29,28.46
Finland,High-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_15_29,35.99
Denmark,High-HO,Cities,ISCED 3–4,35-49,male,percentage_15_29,42.60
Romania,Low-HO,Towns and suburbs,ISCED 0–2,35-49,male,percentage_15_29,35.21
Netherlands,High-HO,Rural areas,ISCED 5–8,15-34,female,percentage_15_29,35.03
France,Mid-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_15_29,36.75
Bulgaria,Low-HO,Rural areas,ISCED 3–4,35-49,female,percentage_15_29,41.79
Italy,Low-HO,Towns and suburbs,All ISCED 2011 levels,15-34,male,percentage_15_29,32.33
Belgium,High-HO,Cities,ISCED 5–8,15-34,female,percentage_15_29,46.51
Bulgaria,Low-HO,Towns and suburbs,All ISCED 2011 levels,15-34,male,percentage_15_29,49.27
Lithuania,Low-HO,Total,ISCED 5–8,15-34,male,percentage_15_29,46.84
Finland,High-HO,Cities,ISCED 3–4,35-49,male,percentage_15_29,59.16
Spain,Low-HO,Towns and suburbs,ISCED 3–4,15-34,male,percentage_15_29,28.30
Slovakia,Low-HO,Towns and suburbs,All ISCED 2011 levels,35-49,female,percentage_15_29,67.95
Greece,Low-HO,Total,ISCED 3–4,50-74,female,percentage_15_29,5.16
Greece,Low-HO,Cities,All ISCED 2011 levels,15-34,male,percentage_15_29,35.74
Bulgaria,Low-HO,Cities,All ISCED 2011 levels,50-74,female,percentage_15_29,42.63
Romania,Low-HO,Rural areas,All ISCED 2011 levels,50-74,male,percentage_15_29,32.64
Bulgaria,Low-HO,Total,ISCED 3–4,35-49,female,percentage_15_29,44.27
Romania,Low-HO,Total,ISCED 5–8,50-74,male,percentage_15_29,45.70
Portugal,Mid-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_15_29,30.11
Italy,Low-HO,Towns and suburbs,ISCED 0–2,15-34,female,percentage_15_29,31.08
Latvia,Low-HO,Rural areas,ISCED 3–4,50-74,male,percentage_15_29,43.03
Estonia,Mid-HO,Total,ISCED 3–4,35-49,female,percentage_15_29,44.70
France,Mid-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_15_29,57.03
France,Mid-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_15_29,66.74
Czechia,Low-HO,Rural areas,All ISCED 2011 levels,15-34,female,percentage_15_29,5.24
Hungary,Low-HO,Towns and suburbs,All ISCED 2011 levels,35-49,female,percentage_15_29,47.00
Germany,Mid-HO,Total,ISCED 5–8,15-34,male,percentage_15_29,29.94
Poland,Mid-HO,Cities,ISCED 5–8,35-49,female,percentage_15_29,43.06
Denmark,High-HO,Towns and suburbs,ISCED 3–4,15-34,female,percentage_15_29,39.50
Belgium,High-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_15_29,30.72
Greece,Low-HO,Towns and suburbs,ISCED 5–8,15-34,female,percentage_15_29,11.57
Portugal,Mid-HO,Towns and suburbs,All ISCED 2011 levels,15-34,male,percentage_15_29,34.23
Spain,Low-HO,Cities,ISCED 0–2,35-49,female,percentage_15_29,34.83
Spain,Low-HO,Towns and suburbs,ISCED 3–4,50-74,female,percentage_15_29,24.25
Denmark,High-HO,Total,ISCED 5–8,15-34,female,percentage_15_29,34.62
Austria,Mid-HO,Total,ISCED 0–2,15-34,male,percentage_15_29,38.32
Bulgaria,Low-HO,Total,ISCED 3–4,35-49,male,percentage_15_29,6.51
Poland,Mid-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_15_29,36.39
Romania,Low-HO,Total,ISCED 5–8,15-34,female,percentage_15_29,36.27
Croatia,Low-HO,Cities,All ISCED 2011 levels,50-74,female,percentage_15_29,41.06
Denmark,High-HO,Cities,ISCED 3–4,50-74,female,percentage_15_29,41.38
Poland,Mid-HO,Towns and suburbs,ISCED 5–8,50-74,female,percentage_15_29,45.52
Denmark,High-HO,Rural areas,ISCED 3–4,35-49,male,percentage_15_29,30.37
Latvia,Low-HO,Cities,ISCED 3–4,50-74,female,percentage_30_44,31.28
Poland,Mid-HO,Total,ISCED 5–8,50-74,female,percentage_30_44,33.34
Netherlands,High-HO,Total,ISCED 0–2,15-34,female,percentage_30_44,7.36
Netherlands,High-HO,Total,All ISCED 2011 levels,35-49,male,percentage_30_44,21.08
Croatia,Low-HO,Total,ISCED 3–4,15-34,female,percentage_30_44,32.05
Türkiye,Low-HO,Total,ISCED 0–2,35-49,male,percentage_30_44,24.80
Lithuania,Low-HO,Total,ISCED 3–4,35-49,male,percentage_30_44,24.60
Croatia,Low-HO,Total,All ISCED 2011 levels,50-74,female,percentage_30_44,17.29
Ireland,Mid-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_30_44,19.56
Italy,Low-HO,Towns and suburbs,ISCED 3–4,50-74,female,percentage_30_44,11.92
Denmark,High-HO,Total,ISCED 0–2,50-74,female,percentage_30_44,20.68
Ireland,Mid-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_30_44,17.37
Austria,Mid-HO,Rural areas,ISCED 5–8,50-74,female,percentage_30_44,2.49
Greece,Low-HO,Total,ISCED 5–8,50-74,female,percentage_30_44,25.71
Germany,Mid-HO,Towns and suburbs,ISCED 5–8,35-49,female,percentage_30_44,3.33
Hungary,Low-HO,Cities,ISCED 3–4,15-34,female,percentage_30_44,41.64
Croatia,Low-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_30_44,40.63
Lithuania,Low-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_30_44,31.08
Romania,Low-HO,Cities,ISCED 3–4,15-34,female,percentage_30_44,35.52
Netherlands,High-HO,Total,All ISCED 2011 levels,15-34,male,percentage_30_44,18.11
Hungary,Low-HO,Cities,ISCED 5–8,15-34,female,percentage_30_44,41.80
Czechia,Low-HO,Towns and suburbs,ISCED 3–4,50-74,female,percentage_30_44,17.37
Portugal,Mid-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_30_44,32.41
Denmark,High-HO,Towns and suburbs,All ISCED 2011 levels,15-34,female,percentage_30_44,19.88
Spain,Low-HO,Total,All ISCED 2011 levels,50-74,male,percentage_30_44,2.18
Hungary,Low-HO,Rural areas,ISCED 3–4,50-74,male,percentage_30_44,29.45
Latvia,Low-HO,Total,ISCED 3–4,15-34,male,percentage_30_44,41.57
Lithuania,Low-HO,Cities,ISCED 5–8,15-34,female,percentage_30_44,36.75
Greece,Low-HO,Total,ISCED 3–4,35-49,male,percentage_30_44,16.36
Austria,Mid-HO,Rural areas,ISCED 3–4,35-49,female,percentage_30_44,18.75
Portugal,Mid-HO,Total,All ISCED 2011 levels,35-49,female,percentage_30_44,1.73
Italy,Low-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_30_44,20.16
France,Mid-HO,Cities,ISCED 3–4,15-34,female,percentage_30_44,54.45
France,Mid-HO,Towns and suburbs,All ISCED 2011 levels,15-34,male,percentage_30_44,18.33
Ireland,Mid-HO,Rural areas,ISCED 3–4,15-34,female,percentage_30_44,2.18
Malta,Mid-HO,Total,All ISCED 2011 levels,35-49,female,percentage_30_44,22.93
Slovakia,Low-HO,Towns and suburbs,All ISCED 2011 levels,15-34,female,percentage_30_44,15.47
Czechia,Low-HO,Total,ISCED 3–4,15-34,male,percentage_30_44,3.10
Hungary,Low-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_30_44,43.49
Austria,Mid-HO,Rural areas,ISCED 0–2,50-74,female,percentage_30_44,0.00
Portugal,Mid-HO,Total,ISCED 0–2,15-34,female,percentage_30_44,1.82
Belgium,High-HO,Total,ISCED 0–2,50-74,female,percentage_30_44,18.37
Netherlands,High-HO,Cities,ISCED 3–4,50-74,female,percentage_30_44,16.83
Hungary,Low-HO,Cities,ISCED 5–8,35-49,male,percentage_30_44,36.16
Slovenia,Mid-HO,Total,ISCED 5–8,15-34,male,percentage_30_44,2.83
France,Mid-HO,Total,ISCED 3–4,50-74,female,percentage_30_44,14.31
Finland,High-HO,Total,ISCED 0–2,15-34,female,percentage_30_44,9.53
Italy,Low-HO,Total,ISCED 5–8,15-34,female,percentage_30_44,29.87
Türkiye,Low-HO,No response,All ISCED 2011 levels,50-74,female,percentage_30_44,13.55
Czechia,Low-HO,Rural areas,ISCED 3–4,35-49,male,percentage_30_44,22.43
Hungary,Low-HO,Total,All ISCED 2011 levels,35-49,female,percentage_30_44,24.50
Hungary,Low-HO,Cities,ISCED 3–4,50-74,male,percentage_30_44,49.15
Romania,Low-HO,Rural areas,All ISCED 2011 levels,50-74,female,percentage_30_44,12.88
Latvia,Low-HO,Total,ISCED 5–8,15-34,male,percentage_30_44,30.85
Slovenia,Mid-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_30_44,21.60
Belgium,High-HO,Towns and suburbs,ISCED 5–8,35-49,female,percentage_30_44,25.43
Slovenia,Mid-HO,Total,ISCED 3–4,35-49,female,percentage_30_44,19.92
Portugal,Mid-HO,Towns and suburbs,ISCED 3–4,15-34,male,percentage_30_44,25.30
France,Mid-HO,Cities,All ISCED 2011 levels,15-34,male,percentage_30_44,26.63
Austria,Mid-HO,Total,ISCED 5–8,50-74,male,percentage_30_44,3.25
Portugal,Mid-HO,Cities,ISCED 3–4,15-34,male,percentage_30_44,2.89
Germany,Mid-HO,Total,ISCED 0–2,35-49,male,percentage_30_44,22.36
Poland,Mid-HO,Towns and suburbs,ISCED 3–4,15-34,female,percentage_30_44,19.82
Italy,Low-HO,Rural areas,ISCED 3–4,35-49,male,percentage_30_44,26.36
Poland,Mid-HO,Cities,ISCED 3–4,15-34,female,percentage_30_44,29.51
Belgium,High-HO,Towns and suburbs,ISCED 3–4,35-49,female,percentage_30_44,16.56
Austria,Mid-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_30_44,10.69
Netherlands,High-HO,Rural areas,ISCED 3–4,50-74,male,percentage_30_44,1.76
Netherlands,High-HO,Towns and suburbs,ISCED 0–2,50-74,male,percentage_30_44,1.59
Czechia,Low-HO,Cities,ISCED 5–8,35-49,male,percentage_30_44,42.26
Finland,High-HO,Total,ISCED 3–4,35-49,male,percentage_30_44,2.77
Netherlands,High-HO,Total,ISCED 3–4,15-34,male,percentage_30_44,24.89
Romania,Low-HO,Total,ISCED 3–4,50-74,male,percentage_30_44,3.90
Czechia,Low-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_30_44,33.20
Austria,Mid-HO,Total,All ISCED 2011 levels,50-74,male,percentage_30_44,26.73
Finland,High-HO,Towns and suburbs,All ISCED 2011 levels,15-34,male,percentage_30_44,16.42
Cyprus,Low-HO,Total,ISCED 5–8,15-34,female,percentage_30_44,15.81
Belgium,High-HO,Towns and suburbs,ISCED 0–2,50-74,male,percentage_30_44,18.64
Hungary,Low-HO,Cities,ISCED 5–8,50-74,male,percentage_30_44,31.99
Italy,Low-HO,Towns and suburbs,All ISCED 2011 levels,15-34,female,percentage_30_44,16.86
Greece,Low-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_30_44,13.00
Germany,Mid-HO,Cities,ISCED 3–4,50-74,female,percentage_30_44,33.61
Bulgaria,Low-HO,Total,All ISCED 2011 levels,35-49,male,percentage_30_44,31.99
Slovakia,Low-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_30_44,27.65
Spain,Low-HO,Rural areas,ISCED 3–4,15-34,male,percentage_30_44,15.32
Cyprus,Low-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_30_44,14.02
Germany,Mid-HO,Total,ISCED 3–4,15-34,male,percentage_30_44,22.07
Italy,Low-HO,Total,All ISCED 2011 levels,15-34,male,percentage_30_44,16.70
Spain,Low-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_30_44,13.33
Bulgaria,Low-HO,Rural areas,All ISCED 2011 levels,35-49,female,percentage_30_44,32.66
Hungary,Low-HO,Cities,ISCED 3–4,15-34,male,percentage_30_44,37.82
Estonia,Mid-HO,Total,ISCED 5–8,35-49,male,percentage_30_44,25.31
Slovakia,Low-HO,Rural areas,ISCED 3–4,50-74,male,percentage_30_44,23.50
Cyprus,Low-HO,Total,All ISCED 2011 levels,35-49,female,percentage_30_44,13.73
Netherlands,High-HO,Cities,ISCED 5–8,50-74,male,percentage_30_44,18.41
Greece,Low-HO,Towns and suburbs,ISCED 5–8,50-74,male,percentage_30_44,16.69
Türkiye,Low-HO,Total,All ISCED 2011 levels,50-74,male,percentage_30_44,28.03
Finland,High-HO,Total,ISCED 5–8,35-49,male,percentage_30_44,22.34
Belgium,High-HO,Cities,ISCED 3–4,35-49,female,percentage_30_44,17.10
Denmark,High-HO,Total,All ISCED 2011 levels,35-49,male,percentage_30_44,2.81
Denmark,High-HO,Cities,ISCED 5–8,35-49,female,percentage_30_44,3.14
Germany,Mid-HO,Total,ISCED 5–8,50-74,male,percentage_30_44,21.54
Czechia,Low-HO,Total,ISCED 3–4,50-74,male,percentage_30_44,22.66
Spain,Low-HO,Rural areas,ISCED 5–8,35-49,male,percentage_30_44,14.10
Romania,Low-HO,Total,ISCED 0–2,15-34,female,percentage_30_44,15.30
Italy,Low-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_30_44,15.72
Germany,Mid-HO,Total,All ISCED 2011 levels,35-49,female,percentage_30_44,2.26
Czechia,Low-HO,Towns and suburbs,All ISCED 2011 levels,15-34,male,percentage_30_44,19.77
Denmark,High-HO,Rural areas,ISCED 3–4,35-49,female,percentage_30_44,18.92
Ireland,Mid-HO,Rural areas,ISCED 3–4,15-34,male,percentage_30_44,22.60
Ireland,Mid-HO,Total,All ISCED 2011 levels,50-74,male,percentage_30_44,2.09
Denmark,High-HO,Total,ISCED 3–4,35-49,male,percentage_30_44,20.33
Austria,Mid-HO,Cities,All ISCED 2011 levels,50-74,female,percentage_30_44,28.38
Romania,Low-HO,Rural areas,ISCED 0–2,50-74,male,percentage_30_44,21.39
Greece,Low-HO,Cities,ISCED 3–4,35-49,female,percentage_30_44,23.98
Greece,Low-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_30_44,15.87
Slovenia,Mid-HO,Towns and suburbs,All ISCED 2011 levels,15-34,female,percentage_30_44,24.07
Poland,Mid-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_30_44,38.11
Latvia,Low-HO,Total,All ISCED 2011 levels,35-49,male,percentage_30_44,31.69
Türkiye,Low-HO,No response,ISCED 0–2,35-49,male,percentage_30_44,24.80
Belgium,High-HO,Rural areas,ISCED 3–4,35-49,male,percentage_30_44,27.77
Czechia,Low-HO,Towns and suburbs,ISCED 5–8,50-74,female,percentage_30_44,18.87
Belgium,High-HO,Towns and suburbs,ISCED 0–2,50-74,female,percentage_30_44,17.01
Denmark,High-HO,Rural areas,ISCED 0–2,50-74,male,percentage_30_44,16.31
Hungary,Low-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_30_44,31.92
Italy,Low-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_30_44,16.56
Poland,Mid-HO,Total,ISCED 3–4,15-34,male,percentage_30_44,24.22
Spain,Low-HO,Total,ISCED 5–8,50-74,female,percentage_30_44,17.73
Portugal,Mid-HO,Cities,ISCED 3–4,50-74,female,percentage_30_44,17.06
France,Mid-HO,Cities,All ISCED 2011 levels,50-74,female,percentage_30_44,2.48
Greece,Low-HO,Cities,ISCED 3–4,15-34,female,percentage_30_44,26.89
Sweden,High-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_30_44,22.83
Portugal,Mid-HO,Towns and suburbs,ISCED 5–8,35-49,male,percentage_30_44,19.05
Ireland,Mid-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_30_44,22.64
Netherlands,High-HO,Towns and suburbs,ISCED 0–2,15-34,male,percentage_30_44,10.46
Croatia,Low-HO,Total,ISCED 5–8,50-74,male,percentage_30_44,22.10
Bulgaria,Low-HO,Total,All ISCED 2011 levels,50-74,male,percentage_30_44,36.37
Hungary,Low-HO,Rural areas,All ISCED 2011 levels,50-74,female,percentage_30_44,19.41
Germany,Mid-HO,Cities,ISCED 5–8,35-49,male,percentage_30_44,22.63
Latvia,Low-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_30_44,28.83
Slovenia,Mid-HO,Towns and suburbs,All ISCED 2011 levels,35-49,female,percentage_30_44,20.57
Lithuania,Low-HO,Total,All ISCED 2011 levels,35-49,female,percentage_30_44,38.29
Denmark,High-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_30_44,9.39
Germany,Mid-HO,Total,ISCED 0–2,15-34,male,percentage_30_44,21.86
Poland,Mid-HO,Towns and suburbs,ISCED 5–8,15-34,male,percentage_30_44,20.08
Romania,Low-HO,Total,ISCED 0–2,15-34,male,percentage_30_44,23.59
Türkiye,Low-HO,Total,ISCED 0–2,15-34,female,percentage_30_44,17.20
Ireland,Mid-HO,Towns and suburbs,ISCED 5–8,35-49,female,percentage_30_44,23.13
Italy,Low-HO,Cities,ISCED 3–4,35-49,male,percentage_30_44,22.89
Denmark,High-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_30_44,18.94
Croatia,Low-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_30_44,15.05
Lithuania,Low-HO,Rural areas,All ISCED 2011 levels,50-74,male,percentage_30_44,23.38
Poland,Mid-HO,Towns and suburbs,ISCED 5–8,50-74,male,percentage_30_44,1.17
Czechia,Low-HO,Cities,ISCED 5–8,50-74,male,percentage_30_44,28.26
Czechia,Low-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_30_44,19.32
Portugal,Mid-HO,Cities,ISCED 0–2,35-49,female,percentage_30_44,19.74
Slovenia,Mid-HO,Total,ISCED 3–4,50-74,female,percentage_30_44,16.83
Estonia,Mid-HO,Total,All ISCED 2011 levels,35-49,female,percentage_30_44,2.16
Belgium,High-HO,Towns and suburbs,ISCED 0–2,35-49,male,percentage_30_44,17.42
France,Mid-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_30_44,17.98
Greece,Low-HO,Rural areas,ISCED 0–2,50-74,male,percentage_30_44,13.61
Germany,Mid-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_30_44,26.64
Finland,High-HO,Rural areas,All ISCED 2011 levels,50-74,male,percentage_30_44,13.59
Belgium,High-HO,Rural areas,All ISCED 2011 levels,35-49,female,percentage_30_44,20.33
Latvia,Low-HO,Towns and suburbs,All ISCED 2011 levels,35-49,female,percentage_30_44,21.97
Romania,Low-HO,Towns and suburbs,ISCED 3–4,50-74,male,percentage_30_44,33.98
Romania,Low-HO,Total,ISCED 3–4,35-49,male,percentage_30_44,8.31
Spain,Low-HO,Cities,ISCED 5–8,15-34,female,percentage_30_44,26.28
Portugal,Mid-HO,Total,ISCED 0–2,15-34,male,percentage_30_44,2.72
Austria,Mid-HO,Cities,ISCED 5–8,50-74,female,percentage_30_44,29.81
Italy,Low-HO,Total,ISCED 5–8,35-49,female,percentage_30_44,18.40
Sweden,High-HO,Rural areas,All ISCED 2011 levels,50-74,male,percentage_30_44,2.43
France,Mid-HO,Cities,ISCED 3–4,50-74,male,percentage_30_44,19.15
Spain,Low-HO,Cities,ISCED 5–8,50-74,male,percentage_30_44,22.84
Spain,Low-HO,Towns and suburbs,ISCED 3–4,15-34,female,percentage_30_44,2.26
Türkiye,Low-HO,Total,All ISCED 2011 levels,50-74,female,percentage_30_44,13.55
Romania,Low-HO,Total,ISCED 3–4,35-49,female,percentage_30_44,29.71
Ireland,Mid-HO,Rural areas,ISCED 3–4,50-74,male,percentage_30_44,15.58
Türkiye,Low-HO,Total,ISCED 0–2,35-49,female,percentage_30_44,2.10
Czechia,Low-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_30_44,2.51
Denmark,High-HO,Cities,ISCED 5–8,35-49,male,percentage_30_44,3.30
Belgium,High-HO,Total,All ISCED 2011 levels,35-49,male,percentage_30_44,22.67
Croatia,Low-HO,Total,ISCED 5–8,35-49,female,percentage_30_44,38.56
Denmark,High-HO,Rural areas,ISCED 3–4,15-34,female,percentage_30_44,18.57
Ireland,Mid-HO,Rural areas,ISCED 5–8,35-49,male,percentage_30_44,2.46
Italy,Low-HO,Total,ISCED 3–4,50-74,female,percentage_30_44,14.40
Ireland,Mid-HO,Cities,ISCED 5–8,15-34,male,percentage_30_44,31.07
Belgium,High-HO,Cities,All ISCED 2011 levels,15-34,female,percentage_30_44,23.06
Czechia,Low-HO,Total,ISCED 5–8,50-74,male,percentage_30_44,22.78
Spain,Low-HO,Towns and suburbs,ISCED 0–2,15-34,female,percentage_30_44,17.37
Croatia,Low-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_30_44,25.10
Finland,High-HO,Towns and suburbs,ISCED 5–8,50-74,female,percentage_30_44,15.24
Czechia,Low-HO,Cities,ISCED 5–8,15-34,male,percentage_30_44,52.12
Bulgaria,Low-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_30_44,5.36
Hungary,Low-HO,Rural areas,ISCED 3–4,15-34,male,percentage_30_44,33.98
Poland,Mid-HO,Total,ISCED 0–2,50-74,male,percentage_30_44,20.79
Portugal,Mid-HO,Total,All ISCED 2011 levels,50-74,male,percentage_30_44,14.98
Netherlands,High-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_30_44,20.71
Greece,Low-HO,Rural areas,All ISCED 2011 levels,15-34,female,percentage_30_44,17.91
Finland,High-HO,Total,ISCED 3–4,35-49,female,percentage_30_44,2.16
Greece,Low-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_30_44,24.10
Denmark,High-HO,Total,ISCED 0–2,35-49,female,percentage_30_44,18.43
Lithuania,Low-HO,Total,ISCED 5–8,35-49,female,percentage_30_44,25.89
Denmark,High-HO,Cities,ISCED 3–4,15-34,female,percentage_30_44,22.37
Germany,Mid-HO,Cities,ISCED 3–4,15-34,male,percentage_30_44,21.71
Slovenia,Mid-HO,Rural areas,All ISCED 2011 levels,50-74,female,percentage_30_44,15.08
Netherlands,High-HO,Towns and suburbs,ISCED 5–8,50-74,male,percentage_30_44,21.45
Sweden,High-HO,Towns and suburbs,All ISCED 2011 levels,15-34,male,percentage_30_44,15.87
France,Mid-HO,Cities,ISCED 5–8,35-49,male,percentage_30_44,30.71
Slovenia,Mid-HO,Towns and suburbs,ISCED 3–4,35-49,female,percentage_30_44,18.64
Czechia,Low-HO,Total,ISCED 0–2,35-49,female,percentage_30_44,25.59
Czechia,Low-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_30_44,16.73
Slovakia,Low-HO,Towns and suburbs,All ISCED 2011 levels,15-34,male,percentage_30_44,16.31
Bulgaria,Low-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_30_44,23.36
Italy,Low-HO,Cities,ISCED 5–8,15-34,male,percentage_30_44,19.30
Lithuania,Low-HO,Cities,All ISCED 2011 levels,15-34,female,percentage_30_44,56.12
Belgium,High-HO,Rural areas,All ISCED 2011 levels,50-74,female,percentage_30_44,18.48
Spain,Low-HO,Total,ISCED 3–4,15-34,female,percentage_30_44,26.58
Finland,High-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_30_44,32.10
Croatia,Low-HO,Cities,ISCED 3–4,50-74,male,percentage_30_44,31.28
Sweden,High-HO,Total,ISCED 3–4,35-49,female,percentage_30_44,17.14
Denmark,High-HO,Rural areas,ISCED 5–8,50-74,female,percentage_30_44,18.47
Austria,Mid-HO,Total,ISCED 0–2,50-74,male,percentage_30_44,16.49
Austria,Mid-HO,Rural areas,ISCED 5–8,35-49,male,percentage_30_44,18.36
Spain,Low-HO,Towns and suburbs,ISCED 0–2,50-74,male,percentage_30_44,14.55
Italy,Low-HO,Rural areas,ISCED 5–8,35-49,female,percentage_30_44,18.31
Croatia,Low-HO,Rural areas,All ISCED 2011 levels,50-74,male,percentage_30_44,17.11
Denmark,High-HO,Rural areas,All ISCED 2011 levels,35-49,female,percentage_30_44,26.26
Belgium,High-HO,Cities,ISCED 5–8,35-49,male,percentage_30_44,22.14
Belgium,High-HO,Cities,ISCED 5–8,50-74,female,percentage_30_44,26.52
Cyprus,Low-HO,Total,All ISCED 2011 levels,50-74,female,percentage_30_44,20.52
Ireland,Mid-HO,Rural areas,ISCED 5–8,50-74,female,percentage_30_44,22.74
Greece,Low-HO,Cities,ISCED 5–8,50-74,female,percentage_30_44,25.20
