"percentage_0","percentage_1_14","percentage_15_29","percentage_30_44","percentage_under45","percentage_45_59","percentage_60","percentage_over45","Region","cluster_label","urbanisation_degree","education_level","age_class","sex"
0.00,40.23,38.60,21.16,99.99,0.00,0.00,0.00,Ireland,Mid-HO,Rural areas,ISCED 3–4,"35-49",female
5.87,36.35,42.69,2.40,87.31,5.38,7.31,12.69,Estonia,Mid-HO,Total,All ISCED 2011 levels,"50-74",female
2.25,15.40,36.37,28.74,82.76,10.16,7.09,17.25,Romania,Low-HO,Total,All ISCED 2011 levels,"15-34",male
0.00,44.44,29.37,26.19,100.00,0.00,0.00,0.00,Hungary,Low-HO,Rural areas,ISCED 0–2,"50-74",female
0.00,42.55,32.39,17.36,92.30,0.00,7.70,7.70,Portugal,Mid-HO,Total,ISCED 5–8,"50-74",female
0.00,29.92,45.49,3.69,79.10,0.00,20.90,20.90,Latvia,Low-HO,Towns and suburbs,All ISCED 2011 levels,"50-74",female
0.00,52.08,4.34,23.02,79.44,7.64,12.92,20.56,Portugal,Mid-HO,Cities,ISCED 0–2,"35-49",male
2.09,28.60,35.77,21.20,87.66,6.20,6.14,12.34,Germany,Mid-HO,Total,ISCED 3–4,"15-34",female
8.06,32.74,38.46,2.62,81.88,4.27,13.85,18.12,Hungary,Low-HO,Towns and suburbs,ISCED 3–4,"50-74",male
3.43,19.54,42.30,22.29,87.56,5.16,7.29,12.45,Slovakia,Low-HO,Rural areas,All ISCED 2011 levels,"35-49",male
2.61,20.54,32.71,25.86,81.72,8.01,10.26,18.27,Czechia,Low-HO,Total,All ISCED 2011 levels,"15-34",male
0.00,26.57,48.15,25.28,100.00,0.00,0.00,0.00,Lithuania,Low-HO,Rural areas,All ISCED 2011 levels,"15-34",female
6.65,25.23,31.85,23.28,87.01,6.26,6.74,13.00,Croatia,Low-HO,Total,All ISCED 2011 levels,"35-49",male
5.83,18.88,31.00,22.76,78.47,11.91,9.62,21.53,France,Mid-HO,Cities,ISCED 5–8,"35-49",female
0.00,50.23,34.19,15.58,100.00,0.00,0.00,0.00,Finland,High-HO,Rural areas,ISCED 3–4,"35-49",female
0.00,33.81,33.54,20.01,87.36,6.92,5.72,12.64,Austria,Mid-HO,Total,ISCED 3–4,"15-34",female
2.39,21.30,35.21,23.18,82.08,6.73,11.18,17.91,Poland,Mid-HO,Towns and suburbs,ISCED 5–8,"35-49",male
7.51,15.52,30.12,25.32,78.47,1.17,20.35,21.52,Netherlands,High-HO,Cities,ISCED 5–8,"35-49",male
0.00,0.69,45.68,41.55,87.92,9.47,2.62,12.09,Romania,Low-HO,Cities,ISCED 3–4,"35-49",female
0.00,39.08,35.58,2.26,76.92,7.84,15.25,23.09,Spain,Low-HO,Towns and suburbs,ISCED 5–8,"15-34",female
2.27,27.61,36.08,18.82,84.78,4.04,11.19,15.23,Spain,Low-HO,Cities,ISCED 3–4,"50-74",male
0.00,22.90,34.24,27.21,84.35,14.34,1.31,15.65,France,Mid-HO,Rural areas,ISCED 5–8,"35-49",male
0.00,40.50,39.06,20.44,100.00,0.00,0.00,0.00,Sweden,High-HO,Rural areas,All ISCED 2011 levels,"35-49",female
1.06,3.83,52.96,30.18,88.03,11.16,0.81,11.97,Denmark,High-HO,Total,All ISCED 2011 levels,"50-74",female
2.70,38.73,35.25,13.08,89.76,6.65,3.58,10.23,Netherlands,High-HO,Towns and suburbs,ISCED 3–4,"15-34",female
5.81,19.12,33.43,24.79,83.15,7.37,9.49,16.86,Belgium,High-HO,Rural areas,ISCED 5–8,"35-49",female
0.00,34.14,33.76,18.96,86.86,6.11,7.03,13.14,Austria,Mid-HO,Rural areas,All ISCED 2011 levels,"15-34",female
0.00,2.12,45.23,31.83,79.18,12.08,8.74,20.82,Austria,Mid-HO,Cities,All ISCED 2011 levels,"15-34",female
0.00,1.10,41.31,43.00,85.41,9.75,4.83,14.58,Bulgaria,Low-HO,Cities,ISCED 5–8,"50-74",female
1.16,40.89,31.93,16.05,90.03,3.58,6.39,9.97,Italy,Low-HO,Total,ISCED 3–4,"15-34",male
3.61,26.82,34.56,24.98,89.97,6.24,3.78,10.02,Finland,High-HO,Total,ISCED 5–8,"15-34",male
0.00,62.73,4.13,19.37,86.23,3.98,9.79,13.77,Italy,Low-HO,Rural areas,All ISCED 2011 levels,"15-34",female
15.14,53.94,5.99,24.92,99.99,0.00,0.00,0.00,Ireland,Mid-HO,Rural areas,ISCED 3–4,"50-74",female
7.12,23.69,34.11,23.69,88.61,10.63,0.76,11.39,Netherlands,High-HO,Towns and suburbs,ISCED 5–8,"35-49",female
0.00,35.28,24.15,19.18,78.61,7.74,13.65,21.39,Italy,Low-HO,Rural areas,ISCED 5–8,"35-49",male
12.96,29.67,35.21,17.28,95.12,0.00,4.88,4.88,Poland,Mid-HO,Total,ISCED 0–2,"50-74",female
0.29,22.29,36.32,22.83,81.73,6.51,11.76,18.27,Spain,Low-HO,Cities,ISCED 5–8,"35-49",male
0.00,17.72,34.81,25.30,77.83,10.92,11.24,22.16,France,Mid-HO,Cities,ISCED 5–8,"15-34",female
0.00,44.17,38.06,17.78,100.01,0.00,0.00,0.00,Denmark,High-HO,Towns and suburbs,ISCED 0–2,"15-34",male
3.85,23.58,34.27,23.82,85.52,5.49,8.99,14.48,Bulgaria,Low-HO,Rural areas,All ISCED 2011 levels,"35-49",male
14.85,13.53,28.91,28.65,85.94,12.73,1.33,14.06,Ireland,Mid-HO,Cities,ISCED 5–8,"50-74",male
2.94,39.94,22.75,16.15,81.78,4.63,13.58,18.21,Italy,Low-HO,Towns and suburbs,ISCED 5–8,"50-74",male
5.00,31.41,28.79,19.16,84.36,8.07,7.57,15.64,Austria,Mid-HO,Total,ISCED 3–4,"50-74",male
2.99,20.14,45.19,25.37,93.69,2.72,3.58,6.30,Lithuania,Low-HO,Total,All ISCED 2011 levels,"15-34",female
0.00,4.92,54.59,29.11,88.62,0.00,11.38,11.38,Portugal,Mid-HO,Cities,ISCED 3–4,"35-49",male
7.14,24.56,31.98,20.16,83.84,7.55,8.61,16.16,Belgium,High-HO,Total,All ISCED 2011 levels,"35-49",female
0.00,36.30,29.59,18.60,84.49,9.17,6.33,15.50,Spain,Low-HO,Rural areas,ISCED 5–8,"15-34",male
0.00,30.30,42.77,21.19,94.26,5.15,0.59,5.74,Estonia,Mid-HO,Total,All ISCED 2011 levels,"15-34",male
0.00,36.19,47.39,16.42,100.00,0.00,0.00,0.00,Lithuania,Low-HO,Towns and suburbs,All ISCED 2011 levels,"35-49",female
0.00,10.32,30.21,39.58,80.11,11.37,8.53,19.90,Hungary,Low-HO,Cities,All ISCED 2011 levels,"15-34",female
6.43,18.95,36.10,28.28,89.76,9.54,0.69,10.23,Finland,High-HO,Cities,All ISCED 2011 levels,"50-74",female
16.03,27.17,4.11,26.08,73.39,12.96,13.64,26.60,Netherlands,High-HO,Cities,ISCED 5–8,"50-74",female
7.47,2.18,50.46,32.07,92.18,7.82,0.00,7.82,Finland,High-HO,Cities,ISCED 5–8,"35-49",male
7.87,27.99,35.57,20.19,91.62,7.36,1.02,8.38,Ireland,Mid-HO,Rural areas,All ISCED 2011 levels,"35-49",female
0.00,35.28,35.99,18.39,89.66,3.87,6.47,10.34,Ireland,Mid-HO,Total,ISCED 3–4,"15-34",female
0.00,31.49,49.59,3.82,84.90,15.10,0.00,15.10,Sweden,High-HO,Cities,All ISCED 2011 levels,"35-49",female
0.00,34.41,62.82,2.77,100.00,0.00,0.00,0.00,Estonia,Mid-HO,Cities,All ISCED 2011 levels,"15-34",male
1.02,39.55,30.40,17.55,88.52,3.58,7.90,11.48,Italy,Low-HO,Total,All ISCED 2011 levels,"15-34",female
6.64,33.11,35.35,20.70,95.80,0.00,4.20,4.20,Slovakia,Low-HO,Rural areas,ISCED 3–4,"50-74",female
0.00,22.14,73.97,3.89,100.00,0.00,0.00,0.00,Lithuania,Low-HO,Cities,All ISCED 2011 levels,"35-49",male
1.74,52.23,29.67,13.27,96.91,2.60,0.50,3.10,Italy,Low-HO,Rural areas,All ISCED 2011 levels,"35-49",female
0.00,37.92,29.00,23.23,90.15,0.00,9.85,9.85,Poland,Mid-HO,Rural areas,ISCED 0–2,"35-49",female
1.22,21.83,31.67,27.49,82.21,7.15,10.65,17.80,Türkiye,Low-HO,Total,ISCED 5–8,"15-34",female
11.19,30.34,30.53,16.01,88.07,5.81,6.12,11.93,France,Mid-HO,Rural areas,ISCED 3–4,"50-74",male
0.00,34.92,32.00,24.15,91.07,0.00,8.92,8.92,Austria,Mid-HO,Towns and suburbs,ISCED 5–8,"15-34",female
0.00,16.73,46.76,23.47,86.96,13.05,0.00,13.05,Sweden,High-HO,Cities,All ISCED 2011 levels,"50-74",female
11.62,50.09,4.58,25.62,91.91,0.29,7.80,8.09,Poland,Mid-HO,Rural areas,All ISCED 2011 levels,"35-49",female
0.00,6.69,39.96,38.12,84.77,10.66,4.57,15.23,Romania,Low-HO,Cities,All ISCED 2011 levels,"50-74",male
0.00,13.35,74.43,12.22,100.00,0.00,0.00,0.00,Greece,Low-HO,Rural areas,ISCED 3–4,"35-49",female
31.20,46.24,4.74,3.62,85.80,0.00,14.21,14.21,Slovenia,Mid-HO,Rural areas,ISCED 3–4,"35-49",male
2.64,19.27,38.79,28.01,88.71,6.19,5.10,11.29,Romania,Low-HO,Total,ISCED 3–4,"15-34",female
9.52,27.62,30.76,17.70,85.60,7.40,7.00,14.40,Croatia,Low-HO,Total,ISCED 3–4,"50-74",female
0.00,12.67,27.33,39.33,79.33,7.47,13.20,20.67,Latvia,Low-HO,Cities,All ISCED 2011 levels,"35-49",female
0.00,21.18,47.52,30.46,99.16,0.37,0.47,0.84,Lithuania,Low-HO,Total,ISCED 5–8,"15-34",female
5.94,7.48,62.70,2.88,79.00,10.98,10.02,21.00,Germany,Mid-HO,Towns and suburbs,ISCED 3–4,"35-49",female
0.00,27.08,48.96,3.91,79.95,0.00,20.05,20.05,Croatia,Low-HO,Cities,ISCED 3–4,"15-34",male
0.00,28.60,41.82,2.59,73.01,11.43,15.55,26.98,Sweden,High-HO,Total,ISCED 5–8,"15-34",male
5.93,26.62,33.36,17.78,83.69,5.01,11.30,16.31,Hungary,Low-HO,Towns and suburbs,ISCED 5–8,"35-49",female
2.31,19.09,42.34,4.87,68.61,14.86,16.53,31.39,Czechia,Low-HO,Cities,ISCED 3–4,"35-49",male
6.95,38.98,27.64,15.08,88.65,5.83,5.52,11.35,Austria,Mid-HO,Total,All ISCED 2011 levels,"50-74",female
8.44,29.02,33.82,21.36,92.64,0.00,7.35,7.35,Portugal,Mid-HO,Total,ISCED 5–8,"50-74",male
3.48,35.63,4.24,31.26,74.61,12.93,12.47,25.40,Sweden,High-HO,Total,All ISCED 2011 levels,"35-49",male
1.40,34.33,40.61,21.91,98.25,0.59,1.17,1.76,Italy,Low-HO,Cities,All ISCED 2011 levels,"15-34",male
3.91,24.81,37.20,20.86,86.78,3.36,9.86,13.22,Poland,Mid-HO,Towns and suburbs,ISCED 3–4,"35-49",male
7.77,40.23,33.04,1.67,82.71,8.42,8.86,17.28,Netherlands,High-HO,Rural areas,All ISCED 2011 levels,"15-34",male
6.26,28.34,32.75,22.35,89.70,3.50,6.80,10.30,Poland,Mid-HO,Total,ISCED 3–4,"50-74",male
4.10,23.30,37.84,24.76,90.00,8.70,1.29,9.99,Belgium,High-HO,Towns and suburbs,ISCED 5–8,"15-34",female
0.00,17.77,37.94,24.30,80.01,12.68,7.31,19.99,Sweden,High-HO,Cities,All ISCED 2011 levels,"35-49",male
0.00,4.52,49.37,34.19,88.08,10.60,1.32,11.92,Portugal,Mid-HO,Total,ISCED 5–8,"15-34",female
0.00,17.13,37.67,32.57,87.37,12.63,0.00,12.63,Sweden,High-HO,Cities,ISCED 5–8,"35-49",female
7.31,3.67,42.05,25.62,78.65,8.99,12.35,21.34,Germany,Mid-HO,Rural areas,ISCED 3–4,"50-74",male
0.00,10.57,41.10,37.95,89.62,10.38,0.00,10.38,Bulgaria,Low-HO,Cities,ISCED 5–8,"35-49",female
7.23,34.09,33.76,19.31,94.39,0.00,5.61,5.61,Ireland,Mid-HO,Total,ISCED 3–4,"50-74",female
0.00,23.91,44.20,31.88,99.99,0.00,0.00,0.00,Luxembourg,High-HO,Total,All ISCED 2011 levels,"15-34",female
5.79,11.96,7.56,44.58,69.89,1.39,28.72,30.11,Spain,Low-HO,Rural areas,All ISCED 2011 levels,"15-34",female
3.36,29.58,33.84,18.65,85.43,6.52,8.06,14.58,Portugal,Mid-HO,Cities,All ISCED 2011 levels,"35-49",male
4.25,14.95,42.33,31.37,92.90,3.23,3.87,7.10,Poland,Mid-HO,Cities,ISCED 5–8,"50-74",female
11.31,3.23,49.73,19.57,83.84,6.46,9.69,16.15,Slovenia,Mid-HO,Total,ISCED 5–8,"35-49",male
10.60,20.81,30.30,20.31,82.02,8.39,9.60,17.99,Belgium,High-HO,Towns and suburbs,ISCED 3–4,"50-74",male
0.44,29.02,44.23,16.81,90.50,2.88,6.62,9.50,Poland,Mid-HO,Towns and suburbs,ISCED 3–4,"50-74",female
11.91,4.67,48.85,20.97,86.40,7.71,5.90,13.61,Netherlands,High-HO,Total,ISCED 3–4,"35-49",female
4.49,9.28,29.52,38.85,82.14,10.07,7.79,17.86,Hungary,Low-HO,Cities,All ISCED 2011 levels,"15-34",male
2.03,33.89,50.92,2.05,88.89,4.61,6.50,11.11,Poland,Mid-HO,Towns and suburbs,All ISCED 2011 levels,"15-34",female
0.00,28.29,32.61,26.35,87.25,0.00,12.74,12.74,Lithuania,Low-HO,Rural areas,ISCED 3–4,"15-34",male
0.00,37.19,38.56,23.11,98.86,0.00,1.14,1.14,Portugal,Mid-HO,Cities,ISCED 5–8,"50-74",female
9.72,29.58,30.47,18.06,87.83,5.39,6.78,12.17,Ireland,Mid-HO,Total,All ISCED 2011 levels,"50-74",female
7.93,7.88,50.01,20.94,86.76,0.59,12.66,13.25,Portugal,Mid-HO,Total,All ISCED 2011 levels,"50-74",female
8.35,32.66,24.63,17.44,83.08,6.77,10.15,16.92,Austria,Mid-HO,Rural areas,ISCED 5–8,"35-49",female
7.99,4.15,52.08,3.78,68.00,10.35,21.65,32.00,Ireland,Mid-HO,Total,All ISCED 2011 levels,"15-34",male
2.48,57.14,4.08,21.67,85.37,3.99,10.64,14.63,Italy,Low-HO,Cities,ISCED 0–2,"50-74",female
3.74,33.70,42.76,3.23,83.43,5.45,11.12,16.57,Türkiye,Low-HO,No response,ISCED 0–2,"15-34",male
0.00,43.12,35.50,16.98,95.60,4.40,0.00,4.40,Greece,Low-HO,Towns and suburbs,All ISCED 2011 levels,"15-34",male
4.19,34.67,26.29,22.60,87.75,4.98,7.28,12.26,Hungary,Low-HO,Rural areas,All ISCED 2011 levels,"35-49",female
2.80,3.22,48.50,28.28,82.80,5.81,11.40,17.21,Spain,Low-HO,Cities,ISCED 3–4,"35-49",female
0.00,23.10,40.19,34.49,97.78,0.00,2.22,2.22,Latvia,Low-HO,Cities,ISCED 3–4,"50-74",male
1.94,45.67,31.38,19.76,98.75,0.53,0.73,1.26,Spain,Low-HO,Rural areas,All ISCED 2011 levels,"15-34",male
7.84,26.55,30.92,15.99,81.30,8.45,10.26,18.71,Netherlands,High-HO,Rural areas,ISCED 3–4,"35-49",male
0.00,34.80,11.29,53.92,100.01,0.00,0.00,0.00,Slovakia,Low-HO,Cities,ISCED 3–4,"35-49",male
0.36,64.50,27.39,0.71,92.96,3.21,3.84,7.05,Netherlands,High-HO,Towns and suburbs,ISCED 0–2,"15-34",female
3.17,29.89,28.75,19.94,81.75,6.58,11.65,18.23,Denmark,High-HO,Total,ISCED 3–4,"15-34",male
3.17,24.58,31.58,23.20,82.53,6.29,11.18,17.47,Czechia,Low-HO,Rural areas,All ISCED 2011 levels,"35-49",male
4.01,49.21,39.10,2.08,94.40,4.81,0.79,5.60,Portugal,Mid-HO,Total,ISCED 3–4,"15-34",male
6.14,25.21,30.62,20.40,82.37,7.30,10.33,17.63,Germany,Mid-HO,Total,All ISCED 2011 levels,"50-74",male
0.00,27.52,52.42,20.06,100.00,0.00,0.00,0.00,Bulgaria,Low-HO,Towns and suburbs,All ISCED 2011 levels,"50-74",female
0.00,33.53,34.24,23.29,91.06,0.47,8.47,8.94,Hungary,Low-HO,Total,ISCED 0–2,"50-74",female
7.21,2.83,4.86,51.91,66.81,12.69,20.49,33.18,Hungary,Low-HO,Total,ISCED 3–4,"15-34",male
9.07,3.77,51.72,28.51,93.07,0.72,6.22,6.94,Czechia,Low-HO,Total,ISCED 3–4,"50-74",female
0.00,38.83,22.99,30.15,91.97,0.00,8.03,8.03,Hungary,Low-HO,Rural areas,ISCED 0–2,"35-49",female
0.00,18.98,35.19,27.21,81.38,11.85,6.77,18.62,Denmark,High-HO,Cities,ISCED 5–8,"15-34",male
20.29,33.73,3.82,23.85,81.69,7.11,11.20,18.31,Slovenia,Mid-HO,Rural areas,All ISCED 2011 levels,"35-49",male
2.62,19.11,38.16,33.51,93.40,5.97,0.63,6.60,Poland,Mid-HO,Cities,ISCED 3–4,"50-74",male
0.00,27.96,5.62,40.38,73.96,11.98,14.05,26.03,Denmark,High-HO,Cities,ISCED 5–8,"15-34",female
11.80,52.23,4.08,23.44,91.55,0.00,8.46,8.46,Romania,Low-HO,Total,ISCED 0–2,"35-49",female
0.00,32.65,3.24,42.35,78.24,0.00,21.76,21.76,Hungary,Low-HO,Rural areas,ISCED 0–2,"15-34",male
0.00,42.57,34.62,15.12,92.31,3.21,4.48,7.69,Italy,Low-HO,Towns and suburbs,ISCED 0–2,"15-34",male
0.00,42.77,38.93,18.30,100.00,0.00,0.00,0.00,Germany,Mid-HO,Rural areas,ISCED 3–4,"35-49",female
13.04,3.02,51.19,32.75,100.00,0.00,0.00,0.00,Portugal,Mid-HO,Cities,ISCED 5–8,"50-74",male
0.00,17.71,34.90,27.60,80.21,10.16,9.64,19.80,Luxembourg,High-HO,Total,All ISCED 2011 levels,"15-34",male
5.27,38.05,30.66,14.03,88.01,7.07,4.93,12.00,Austria,Mid-HO,Total,ISCED 3–4,"35-49",female
6.71,22.89,38.38,17.46,85.44,5.09,9.48,14.57,Czechia,Low-HO,Towns and suburbs,ISCED 5–8,"35-49",female
0.00,27.17,7.61,46.98,81.76,9.90,8.33,18.23,Slovakia,Low-HO,Rural areas,ISCED 3–4,"15-34",male
6.19,35.20,5.24,32.68,79.31,8.96,11.73,20.69,Germany,Mid-HO,Cities,All ISCED 2011 levels,"35-49",female
6.95,29.38,37.12,20.70,94.15,0.00,5.85,5.85,Estonia,Mid-HO,Total,ISCED 5–8,"50-74",female
6.59,7.74,31.56,33.24,79.13,10.97,9.89,20.86,Hungary,Low-HO,Cities,ISCED 5–8,"35-49",female
4.09,21.79,38.53,24.55,88.96,9.89,1.16,11.05,Belgium,High-HO,Total,ISCED 5–8,"15-34",female
3.24,24.64,42.73,26.02,96.63,2.84,0.53,3.37,Lithuania,Low-HO,Total,ISCED 3–4,"50-74",male
4.10,34.46,28.50,16.69,83.75,6.51,9.74,16.25,Netherlands,High-HO,Towns and suburbs,All ISCED 2011 levels,"15-34",male
13.61,36.00,31.59,14.07,95.27,0.45,4.27,4.72,France,Mid-HO,Rural areas,All ISCED 2011 levels,"50-74",female
9.68,32.84,35.29,16.79,94.60,0.00,5.39,5.39,Denmark,High-HO,Rural areas,ISCED 3–4,"50-74",female
2.88,39.01,35.67,2.19,79.75,4.83,15.42,20.25,Spain,Low-HO,Cities,ISCED 0–2,"50-74",female
3.35,12.62,38.57,34.56,89.10,5.12,5.77,10.89,Poland,Mid-HO,Cities,ISCED 5–8,"15-34",female
20.05,6.19,54.50,2.70,83.44,9.28,7.28,16.56,Netherlands,High-HO,Towns and suburbs,All ISCED 2011 levels,"50-74",female
8.39,26.18,30.53,18.24,83.34,7.81,8.86,16.67,France,Mid-HO,Total,All ISCED 2011 levels,"50-74",male
5.23,29.26,38.11,26.16,98.76,0.59,0.64,1.23,Türkiye,Low-HO,No response,ISCED 3–4,"15-34",female
0.00,32.65,35.71,19.42,87.78,6.52,5.70,12.22,Greece,Low-HO,Total,ISCED 5–8,"15-34",female
0.70,29.97,29.79,25.14,85.60,4.60,9.80,14.40,Hungary,Low-HO,Rural areas,All ISCED 2011 levels,"50-74",male
10.95,53.32,24.37,11.35,99.99,0.00,0.00,0.00,Romania,Low-HO,Total,ISCED 0–2,"50-74",female
0.00,32.34,34.89,32.77,100.00,0.00,0.00,0.00,Belgium,High-HO,Cities,ISCED 0–2,"35-49",female
0.00,43.03,33.03,23.94,100.00,0.00,0.00,0.00,Finland,High-HO,Rural areas,ISCED 3–4,"15-34",female
0.00,16.33,47.18,32.59,96.10,0.00,3.90,3.90,Lithuania,Low-HO,Cities,All ISCED 2011 levels,"50-74",female
8.80,21.93,38.04,4.32,73.09,19.44,7.48,26.92,Czechia,Low-HO,Cities,ISCED 5–8,"15-34",female
3.08,33.55,4.39,34.40,75.42,8.91,15.66,24.57,Czechia,Low-HO,Rural areas,ISCED 3–4,"15-34",male
4.35,2.59,56.74,25.19,88.87,3.85,7.28,11.13,Slovakia,Low-HO,Total,ISCED 3–4,"15-34",female
5.97,35.18,34.75,15.40,91.30,4.45,4.26,8.71,Germany,Mid-HO,Rural areas,All ISCED 2011 levels,"50-74",female
0.00,14.63,34.76,28.63,78.02,9.13,12.86,21.99,Germany,Mid-HO,Cities,ISCED 5–8,"15-34",female
0.00,15.99,27.44,30.64,74.07,10.27,15.66,25.93,Czechia,Low-HO,Rural areas,ISCED 5–8,"35-49",male
0.00,48.08,39.05,12.87,100.00,0.00,0.00,0.00,Germany,Mid-HO,Total,ISCED 0–2,"50-74",female
10.70,35.20,26.75,17.46,90.11,2.85,7.05,9.90,Poland,Mid-HO,Rural areas,All ISCED 2011 levels,"50-74",male
0.00,34.68,61.05,4.28,100.01,0.00,0.00,0.00,France,Mid-HO,Rural areas,ISCED 5–8,"15-34",female
23.29,28.77,3.42,27.05,82.53,0.00,17.47,17.47,Belgium,High-HO,Rural areas,ISCED 5–8,"50-74",female
6.08,27.84,37.97,19.12,91.01,3.67,5.32,8.99,Slovakia,Low-HO,Rural areas,All ISCED 2011 levels,"35-49",female
5.98,51.69,26.23,10.41,94.31,0.00,5.69,5.69,Austria,Mid-HO,Towns and suburbs,ISCED 3–4,"50-74",female
3.99,31.57,37.02,16.88,89.46,4.47,6.05,10.52,France,Mid-HO,Total,ISCED 3–4,"15-34",female
5.02,20.73,36.92,22.56,85.23,1.10,13.67,14.77,Netherlands,High-HO,Total,ISCED 5–8,"15-34",female
0.00,13.54,42.84,27.97,84.35,10.65,4.99,15.64,Finland,High-HO,Cities,ISCED 5–8,"15-34",female
4.41,29.30,28.77,20.66,83.14,5.34,11.53,16.87,Italy,Low-HO,Cities,ISCED 5–8,"50-74",male
0.00,57.83,3.65,25.97,87.45,3.86,8.69,12.55,Spain,Low-HO,Rural areas,ISCED 0–2,"15-34",male
0.00,18.93,28.05,37.32,84.30,0.81,14.90,15.71,Latvia,Low-HO,Total,ISCED 5–8,"35-49",female
9.44,19.49,29.12,20.17,78.22,10.34,11.44,21.78,France,Mid-HO,Total,ISCED 5–8,"50-74",male
2.31,23.87,39.75,21.14,87.07,6.12,6.81,12.93,Czechia,Low-HO,Towns and suburbs,All ISCED 2011 levels,"15-34",female
0.00,37.92,48.70,13.38,100.00,0.00,0.00,0.00,Cyprus,Low-HO,Total,ISCED 5–8,"35-49",male
3.11,28.45,38.72,23.32,93.60,5.26,1.14,6.40,Spain,Low-HO,Cities,All ISCED 2011 levels,"35-49",female
12.73,37.69,27.75,16.05,94.22,1.85,3.93,5.78,Poland,Mid-HO,Rural areas,All ISCED 2011 levels,"50-74",female
2.99,13.43,31.49,40.21,88.12,1.14,10.74,11.88,Czechia,Low-HO,Cities,All ISCED 2011 levels,"35-49",male
0.00,54.14,38.01,7.84,99.99,0.00,0.00,0.00,Greece,Low-HO,Rural areas,All ISCED 2011 levels,"15-34",male
7.15,35.01,49.63,2.03,93.82,2.72,3.46,6.18,Slovakia,Low-HO,Total,ISCED 3–4,"50-74",female
0.00,39.31,6.88,36.47,82.66,10.76,6.58,17.34,Romania,Low-HO,Towns and suburbs,All ISCED 2011 levels,"15-34",female
6.25,27.14,32.89,21.80,88.08,5.60,6.31,11.91,Romania,Low-HO,Rural areas,ISCED 3–4,"50-74",male
2.71,9.56,33.60,38.30,84.17,11.13,4.70,15.83,Bulgaria,Low-HO,Cities,All ISCED 2011 levels,"15-34",male
0.00,22.96,36.97,25.44,85.37,0.00,14.63,14.63,Sweden,High-HO,Total,ISCED 5–8,"50-74",male
8.16,36.03,5.06,28.39,77.64,11.79,10.57,22.36,France,Mid-HO,Rural areas,ISCED 3–4,"35-49",male
0.00,11.27,5.35,68.64,85.26,14.74,0.00,14.74,Bulgaria,Low-HO,Cities,ISCED 5–8,"15-34",female
2.72,45.24,33.76,2.08,83.80,4.44,11.75,16.19,Italy,Low-HO,Total,ISCED 3–4,"50-74",male
1.21,23.64,35.15,22.95,82.95,5.52,11.53,17.05,Spain,Low-HO,Cities,All ISCED 2011 levels,"15-34",female
7.92,24.79,34.47,21.44,88.62,1.05,10.33,11.38,France,Mid-HO,Cities,All ISCED 2011 levels,"50-74",male
0.00,38.95,31.69,17.94,88.58,3.36,8.06,11.42,Spain,Low-HO,Total,ISCED 0–2,"15-34",female
0.00,1.01,31.72,55.15,87.88,10.51,1.62,12.13,Latvia,Low-HO,Cities,All ISCED 2011 levels,"15-34",male
0.00,51.38,35.08,13.54,100.00,0.00,0.00,0.00,Ireland,Mid-HO,Total,ISCED 0–2,"50-74",female
2.37,23.19,40.58,27.63,93.77,0.80,5.43,6.23,Romania,Low-HO,Towns and suburbs,All ISCED 2011 levels,"50-74",male
3.92,22.90,33.81,22.42,83.05,7.10,9.86,16.96,Czechia,Low-HO,Total,All ISCED 2011 levels,"50-74",male
0.00,6.75,64.56,28.69,100.00,0.00,0.00,0.00,Finland,High-HO,Towns and suburbs,ISCED 3–4,"50-74",female
0.00,33.51,39.31,27.18,100.00,0.00,0.00,0.00,Lithuania,Low-HO,Rural areas,ISCED 5–8,"50-74",female
0.00,24.94,32.24,26.59,83.77,0.00,16.24,16.24,Ireland,Mid-HO,Rural areas,ISCED 5–8,"15-34",female
4.22,19.69,38.25,24.33,86.49,7.02,6.48,13.50,Denmark,High-HO,Cities,All ISCED 2011 levels,"35-49",male
0.00,18.83,37.12,26.29,82.24,8.17,9.59,17.76,Malta,Mid-HO,Total,All ISCED 2011 levels,"15-34",male
7.62,2.42,43.87,5.02,58.93,18.03,23.05,41.08,Hungary,Low-HO,Cities,ISCED 3–4,"50-74",female
8.92,46.97,5.48,27.71,89.08,3.31,7.61,10.92,Poland,Mid-HO,Total,ISCED 3–4,"35-49",female
0.44,20.47,32.70,24.62,78.23,7.87,13.91,21.78,Ireland,Mid-HO,Total,ISCED 5–8,"15-34",male
0.00,24.21,34.45,24.41,83.07,9.45,7.48,16.93,Malta,Mid-HO,Total,All ISCED 2011 levels,"35-49",male
0.98,29.01,6.32,41.98,78.29,20.07,1.64,21.71,Netherlands,High-HO,Towns and suburbs,ISCED 5–8,"15-34",female
8.49,25.40,37.81,18.37,90.07,5.50,4.43,9.93,France,Mid-HO,Rural areas,All ISCED 2011 levels,"35-49",female
10.34,24.03,29.36,23.11,86.84,0.99,12.18,13.17,Belgium,High-HO,Towns and suburbs,ISCED 5–8,"50-74",female
5.50,24.82,34.13,20.88,85.33,8.78,5.91,14.69,Finland,High-HO,Total,ISCED 5–8,"50-74",female
4.43,35.42,46.15,3.13,89.13,0.58,10.30,10.88,Croatia,Low-HO,Total,All ISCED 2011 levels,"15-34",male
