Region,0,1-14,15-29,30-59,60+,No_response,sheet_name,education_level,urbanisation_degree,age_class,sex
France,1053.0,4398.0,6539.0,7436.0,2762.0,519.0,Sheet 19,ISCED 5–8,Total,35-49,Male
Croatia,,17.0,323.0,374.0,72.0,,Sheet 19,ISCED 5–8,Total,35-49,Male
Italy,281.0,3185.0,2705.0,295.0,1361.0,288.0,Sheet 19,ISCED 5–8,Total,35-49,Male
Cyprus,,102.0,131.0,43.0,,,Sheet 19,ISCED 5–8,Total,35-49,Male
Latvia,,6.0,114.0,245.0,81.0,,Sheet 19,ISCED 5–8,Total,35-49,Male
Lithuania,,163.0,514.0,274.0,41.0,,Sheet 19,ISCED 5–8,Total,35-49,Male
Luxembourg,,,8.0,94.0,,86.0,Sheet 19,ISCED 5–8,Total,35-49,Male
Hungary,227.0,296.0,597.0,1023.0,365.0,115.0,Sheet 19,ISCED 5–8,Total,35-49,Male
Malta,,,46.0,55.0,,,Sheet 19,ISCED 5–8,Total,35-49,Male
Netherlands,443.0,908.0,173.0,2127.0,1131.0,203.0,Sheet 19,ISCED 5–8,Total,35-49,Male
Austria,126.0,754.0,858.0,947.0,316.0,,Sheet 19,ISCED 5–8,Total,35-49,Male
Poland,539.0,2233.0,3802.0,4154.0,1194.0,64.0,Sheet 19,ISCED 5–8,Total,35-49,Male
Portugal,111.0,619.0,804.0,626.0,174.0,178.0,Sheet 19,ISCED 5–8,Total,35-49,Male
Romania,,465.0,1262.0,1872.0,219.0,601.0,Sheet 19,ISCED 5–8,Total,35-49,Male
Slovenia,63.0,18.0,277.0,145.0,54.0,,Sheet 19,ISCED 5–8,Total,35-49,Male
Slovakia,64.0,204.0,562.0,305.0,126.0,,Sheet 19,ISCED 5–8,Total,35-49,Male
Finland,115.0,452.0,759.0,612.0,103.0,38.0,Sheet 19,ISCED 5–8,Total,35-49,Male
Sweden,,1071.0,1337.0,1375.0,417.0,,Sheet 19,ISCED 5–8,Total,35-49,Male
Iceland,,63.0,41.0,,,,Sheet 19,ISCED 5–8,Total,35-49,Male
Norway,96.0,581.0,694.0,558.0,243.0,,Sheet 19,ISCED 5–8,Total,35-49,Male
Switzerland,174.0,967.0,1117.0,1319.0,476.0,,Sheet 19,ISCED 5–8,Total,35-49,Male
United Kingdom,2492.0,3331.0,5679.0,8543.0,5324.0,386.0,Sheet 19,ISCED 5–8,Total,35-49,Male
Türkiye,121.0,4613.0,5455.0,5292.0,1657.0,,Sheet 19,ISCED 5–8,Total,35-49,Male
European_Union_27_countries_from_2020,7629.0,22514.0,27847.0,28363.0,11084.0,5036.0,Sheet 20,ISCED 5–8,Total,50-74,Male
European_Union_29_countries_from_2013-2020,11104.0,25131.0,31955.0,33396.0,14887.0,5609.0,Sheet 20,ISCED 5–8,Total,50-74,Male
Euro_area_19_countries_2015-2022,6573.0,19704.0,2297.0,23424.0,9458.0,4367.0,Sheet 20,ISCED 5–8,Total,50-74,Male
Belgium,396.0,484.0,727.0,894.0,58.0,,Sheet 20,ISCED 5–8,Total,50-74,Male
Bulgaria,,183.0,462.0,652.0,65.0,,Sheet 20,ISCED 5–8,Total,50-74,Male
Czechia,157.0,352.0,582.0,629.0,264.0,,Sheet 20,ISCED 5–8,Total,50-74,Male
Denmark,154.0,238.0,417.0,543.0,177.0,57.0,Sheet 20,ISCED 5–8,Total,50-74,Male
Germany,2552.0,6167.0,7364.0,8302.0,3171.0,2434.0,Sheet 20,ISCED 5–8,Total,50-74,Male
Estonia,,91.0,135.0,83.0,,,Sheet 20,ISCED 5–8,Total,50-74,Male
Ireland,157.0,203.0,237.0,314.0,176.0,138.0,Sheet 20,ISCED 5–8,Total,50-74,Male
Greece,,832.0,70.0,493.0,112.0,172.0,Sheet 20,ISCED 5–8,Total,50-74,Male
Spain,444.0,3187.0,3529.0,3166.0,1022.0,676.0,Sheet 20,ISCED 5–8,Total,50-74,Male
France,1247.0,2574.0,3846.0,4029.0,1511.0,,Sheet 20,ISCED 5–8,Total,50-74,Male
Croatia,8.0,231.0,194.0,165.0,64.0,,Sheet 20,ISCED 5–8,Total,50-74,Male
Italy,321.0,2961.0,2289.0,2037.0,1086.0,224.0,Sheet 20,ISCED 5–8,Total,50-74,Male
Cyprus,,69.0,84.0,38.0,,,Sheet 20,ISCED 5–8,Total,50-74,Male
Latvia,,49.0,11.0,203.0,52.0,,Sheet 20,ISCED 5–8,Total,50-74,Male
Lithuania,41.0,12.0,296.0,191.0,,,Sheet 20,ISCED 5–8,Total,50-74,Male
Luxembourg,,,39.0,,,7.0,Sheet 20,ISCED 5–8,Total,50-74,Male
Hungary,147.0,225.0,399.0,477.0,212.0,53.0,Sheet 20,ISCED 5–8,Total,50-74,Male
Malta,,,,,,,Sheet 20,ISCED 5–8,Total,50-74,Male
Netherlands,739.0,919.0,1471.0,1993.0,1143.0,21.0,Sheet 20,ISCED 5–8,Total,50-74,Male
Austria,22.0,842.0,65.0,656.0,246.0,,Sheet 20,ISCED 5–8,Total,50-74,Male
Poland,375.0,957.0,1502.0,1311.0,498.0,251.0,Sheet 20,ISCED 5–8,Total,50-74,Male
Portugal,109.0,375.0,437.0,326.0,95.0,,Sheet 20,ISCED 5–8,Total,50-74,Male
Romania,,179.0,606.0,541.0,,217.0,Sheet 20,ISCED 5–8,Total,50-74,Male
Slovenia,62.0,94.0,142.0,93.0,35.0,,Sheet 20,ISCED 5–8,Total,50-74,Male
Slovakia,41.0,143.0,334.0,183.0,,,Sheet 20,ISCED 5–8,Total,50-74,Male
Finland,148.0,556.0,554.0,372.0,133.0,35.0,Sheet 20,ISCED 5–8,Total,50-74,Male
Sweden,,444.0,715.0,621.0,283.0,,Sheet 20,ISCED 5–8,Total,50-74,Male
Iceland,,56.0,,,,,Sheet 20,ISCED 5–8,Total,50-74,Male
Norway,129.0,467.0,582.0,425.0,185.0,,Sheet 20,ISCED 5–8,Total,50-74,Male
Switzerland,399.0,942.0,1026.0,1027.0,481.0,10.0,Sheet 20,ISCED 5–8,Total,50-74,Male
United Kingdom,3475.0,2618.0,4108.0,5033.0,3803.0,574.0,Sheet 20,ISCED 5–8,Total,50-74,Male
Türkiye,137.0,1619.0,1919.0,1396.0,317.0,,Sheet 20,ISCED 5–8,Total,50-74,Male
European_Union_27_countries_from_2020,,,,,,,Sheet 21,No response,Total,15-34,Male
European_Union_29_countries_from_2013-2020,,,,,,,Sheet 21,No response,Total,15-34,Male
Euro_area_19_countries_2015-2022,,,,,,,Sheet 21,No response,Total,15-34,Male
Belgium,,,,,,,Sheet 21,No response,Total,15-34,Male
Bulgaria,,,,,,,Sheet 21,No response,Total,15-34,Male
Czechia,,,,,,,Sheet 21,No response,Total,15-34,Male
Denmark,,,,,,,Sheet 21,No response,Total,15-34,Male
Germany,,,,,,,Sheet 21,No response,Total,15-34,Male
Estonia,,,,,,,Sheet 21,No response,Total,15-34,Male
Ireland,,,,,,67.0,Sheet 21,No response,Total,15-34,Male
Greece,,,,,,,Sheet 21,No response,Total,15-34,Male
Spain,,,,,,,Sheet 21,No response,Total,15-34,Male
France,,,,,,,Sheet 21,No response,Total,15-34,Male
Croatia,,,,,,,Sheet 21,No response,Total,15-34,Male
Italy,,,,,,,Sheet 21,No response,Total,15-34,Male
Cyprus,,,,,,,Sheet 21,No response,Total,15-34,Male
Latvia,,,,,,,Sheet 21,No response,Total,15-34,Male
Lithuania,,,,,,,Sheet 21,No response,Total,15-34,Male
Luxembourg,,,,,,,Sheet 21,No response,Total,15-34,Male
Hungary,,,,,,,Sheet 21,No response,Total,15-34,Male
Malta,,,,,,,Sheet 21,No response,Total,15-34,Male
Netherlands,,,,64.0,,,Sheet 21,No response,Total,15-34,Male
Austria,,,,,,,Sheet 21,No response,Total,15-34,Male
Poland,,,,,,,Sheet 21,No response,Total,15-34,Male
Portugal,,,,,,,Sheet 21,No response,Total,15-34,Male
Romania,,,,,,,Sheet 21,No response,Total,15-34,Male
Slovenia,,,,,,,Sheet 21,No response,Total,15-34,Male
Slovakia,,,,,,,Sheet 21,No response,Total,15-34,Male
Finland,,,,,,,Sheet 21,No response,Total,15-34,Male
Sweden,,,,,,,Sheet 21,No response,Total,15-34,Male
Iceland,,,,,,,Sheet 21,No response,Total,15-34,Male
Norway,,,,,,,Sheet 21,No response,Total,15-34,Male
Switzerland,,,,,,,Sheet 21,No response,Total,15-34,Male
United Kingdom,,,,,,,Sheet 21,No response,Total,15-34,Male
Türkiye,,,,,,,Sheet 21,No response,Total,15-34,Male
European_Union_27_countries_from_2020,,,525.0,806.0,,,Sheet 22,No response,Total,15-74,Male
European_Union_29_countries_from_2013-2020,,,625.0,95.0,,,Sheet 22,No response,Total,15-74,Male
Euro_area_19_countries_2015-2022,,,,743.0,,,Sheet 22,No response,Total,15-74,Male
Belgium,,,,,,,Sheet 22,No response,Total,15-74,Male
Bulgaria,,,,,,,Sheet 22,No response,Total,15-74,Male
Czechia,,,,,,,Sheet 22,No response,Total,15-74,Male
Denmark,,51.0,68.0,51.0,,,Sheet 22,No response,Total,15-74,Male
Germany,,,,,,,Sheet 22,No response,Total,15-74,Male
Estonia,,,,,,,Sheet 22,No response,Total,15-74,Male
Ireland,,42.0,,58.0,,154.0,Sheet 22,No response,Total,15-74,Male
Greece,,,,,,,Sheet 22,No response,Total,15-74,Male
Spain,,,,,,,Sheet 22,No response,Total,15-74,Male
France,,,,,,,Sheet 22,No response,Total,15-74,Male
Croatia,,,,,,,Sheet 22,No response,Total,15-74,Male
Italy,,,,,,,Sheet 22,No response,Total,15-74,Male
Cyprus,,,,,,,Sheet 22,No response,Total,15-74,Male
Latvia,,,,,,,Sheet 22,No response,Total,15-74,Male
Lithuania,,,,,,,Sheet 22,No response,Total,15-74,Male
Luxembourg,,,,,,,Sheet 22,No response,Total,15-74,Male
Hungary,,,,,,,Sheet 22,No response,Total,15-74,Male
Malta,,,,,,,Sheet 22,No response,Total,15-74,Male
Netherlands,64.0,52.0,16.0,232.0,84.0,61.0,Sheet 22,No response,Total,15-74,Male
Austria,,,,,,,Sheet 22,No response,Total,15-74,Male
Poland,,,,,,,Sheet 22,No response,Total,15-74,Male
Portugal,,,,,,,Sheet 22,No response,Total,15-74,Male
Romania,,,,,,,Sheet 22,No response,Total,15-74,Male
Slovenia,,,,,,,Sheet 22,No response,Total,15-74,Male
Slovakia,,,,,,,Sheet 22,No response,Total,15-74,Male
Finland,,,,,,,Sheet 22,No response,Total,15-74,Male
Sweden,,,,,,,Sheet 22,No response,Total,15-74,Male
Iceland,,,,,,,Sheet 22,No response,Total,15-74,Male
Norway,,,,,,,Sheet 22,No response,Total,15-74,Male
Switzerland,,,,,,,Sheet 22,No response,Total,15-74,Male
United Kingdom,,,101.0,145.0,,,Sheet 22,No response,Total,15-74,Male
Türkiye,,,,,,,Sheet 22,No response,Total,15-74,Male
European_Union_27_countries_from_2020,,,506.0,804.0,,,Sheet 23,No response,Total,20-64,Male
European_Union_29_countries_from_2013-2020,,,607.0,949.0,,,Sheet 23,No response,Total,20-64,Male
Euro_area_19_countries_2015-2022,,,,743.0,,,Sheet 23,No response,Total,20-64,Male
Belgium,,,,,,,Sheet 23,No response,Total,20-64,Male
Bulgaria,,,,,,,Sheet 23,No response,Total,20-64,Male
Czechia,,,,,,,Sheet 23,No response,Total,20-64,Male
Denmark,,51.0,68.0,5.0,,,Sheet 23,No response,Total,20-64,Male
Germany,,,,,,,Sheet 23,No response,Total,20-64,Male
Estonia,,,,,,,Sheet 23,No response,Total,20-64,Male
Ireland,,,,58.0,,152.0,Sheet 23,No response,Total,20-64,Male
Greece,,,,,,,Sheet 23,No response,Total,20-64,Male
Spain,,,,,,,Sheet 23,No response,Total,20-64,Male
France,,,,,,,Sheet 23,No response,Total,20-64,Male
Croatia,,,,,,,Sheet 23,No response,Total,20-64,Male
Italy,,,,,,,Sheet 23,No response,Total,20-64,Male
Cyprus,,,,,,,Sheet 23,No response,Total,20-64,Male
Latvia,,,,,,,Sheet 23,No response,Total,20-64,Male
Lithuania,,,,,,,Sheet 23,No response,Total,20-64,Male
Luxembourg,,,,,,,Sheet 23,No response,Total,20-64,Male
Hungary,,,,,,,Sheet 23,No response,Total,20-64,Male
Malta,,,,,,,Sheet 23,No response,Total,20-64,Male
Netherlands,64.0,48.0,16.0,232.0,81.0,61.0,Sheet 23,No response,Total,20-64,Male
Austria,,,,,,,Sheet 23,No response,Total,20-64,Male
Poland,,,,,,,Sheet 23,No response,Total,20-64,Male
Portugal,,,,,,,Sheet 23,No response,Total,20-64,Male
Romania,,,,,,,Sheet 23,No response,Total,20-64,Male
Slovenia,,,,,,,Sheet 23,No response,Total,20-64,Male
Slovakia,,,,,,,Sheet 23,No response,Total,20-64,Male
Finland,,,,,,,Sheet 23,No response,Total,20-64,Male
Sweden,,,,,,,Sheet 23,No response,Total,20-64,Male
Iceland,,,,,,,Sheet 23,No response,Total,20-64,Male
Norway,,,,,,,Sheet 23,No response,Total,20-64,Male
Switzerland,,,,,,,Sheet 23,No response,Total,20-64,Male
United Kingdom,,,101.0,145.0,,,Sheet 23,No response,Total,20-64,Male
Türkiye,,,,,,,Sheet 23,No response,Total,20-64,Male
European_Union_27_countries_from_2020,,,,,,,Sheet 24,No response,Total,35-49,Male
European_Union_29_countries_from_2013-2020,,,,,,,Sheet 24,No response,Total,35-49,Male
Euro_area_19_countries_2015-2022,,,,,,,Sheet 24,No response,Total,35-49,Male
Belgium,,,,,,,Sheet 24,No response,Total,35-49,Male
Bulgaria,,,,,,,Sheet 24,No response,Total,35-49,Male
Czechia,,,,,,,Sheet 24,No response,Total,35-49,Male
Denmark,,,,,,,Sheet 24,No response,Total,35-49,Male
Germany,,,,,,,Sheet 24,No response,Total,35-49,Male
Estonia,,,,,,,Sheet 24,No response,Total,35-49,Male
Ireland,,,,,,63.0,Sheet 24,No response,Total,35-49,Male
Greece,,,,,,,Sheet 24,No response,Total,35-49,Male
Spain,,,,,,,Sheet 24,No response,Total,35-49,Male
France,,,,,,,Sheet 24,No response,Total,35-49,Male
Croatia,,,,,,,Sheet 24,No response,Total,35-49,Male
Italy,,,,,,,Sheet 24,No response,Total,35-49,Male
Cyprus,,,,,,,Sheet 24,No response,Total,35-49,Male
Latvia,,,,,,,Sheet 24,No response,Total,35-49,Male
Lithuania,,,,,,,Sheet 24,No response,Total,35-49,Male
Luxembourg,,,,,,,Sheet 24,No response,Total,35-49,Male
Hungary,,,,,,,Sheet 24,No response,Total,35-49,Male
Malta,,,,,,,Sheet 24,No response,Total,35-49,Male
Netherlands,,,87.0,97.0,,,Sheet 24,No response,Total,35-49,Male
Austria,,,,,,,Sheet 24,No response,Total,35-49,Male
Poland,,,,,,,Sheet 24,No response,Total,35-49,Male
Portugal,,,,,,,Sheet 24,No response,Total,35-49,Male
Romania,,,,,,,Sheet 24,No response,Total,35-49,Male
Slovenia,,,,,,,Sheet 24,No response,Total,35-49,Male
Slovakia,,,,,,,Sheet 24,No response,Total,35-49,Male
Finland,,,,,,,Sheet 24,No response,Total,35-49,Male
Sweden,,,,,,,Sheet 24,No response,Total,35-49,Male
Iceland,,,,,,,Sheet 24,No response,Total,35-49,Male
Norway,,,,,,,Sheet 24,No response,Total,35-49,Male
Switzerland,,,,,,,Sheet 24,No response,Total,35-49,Male
United Kingdom,,,,,,,Sheet 24,No response,Total,35-49,Male
Türkiye,,,,,,,Sheet 24,No response,Total,35-49,Male
European_Union_27_countries_from_2020,,,,,,,Sheet 25,No response,Total,50-74,Male
European_Union_29_countries_from_2013-2020,,,,,,,Sheet 25,No response,Total,50-74,Male
Euro_area_19_countries_2015-2022,,,,,,,Sheet 25,No response,Total,50-74,Male
Belgium,,,,,,,Sheet 25,No response,Total,50-74,Male
Bulgaria,,,,,,,Sheet 25,No response,Total,50-74,Male
Czechia,,,,,,,Sheet 25,No response,Total,50-74,Male
Denmark,,,,,,,Sheet 25,No response,Total,50-74,Male
Germany,,,,,,,Sheet 25,No response,Total,50-74,Male
Estonia,,,,,,,Sheet 25,No response,Total,50-74,Male
Ireland,,,,,,,Sheet 25,No response,Total,50-74,Male
Greece,,,,,,,Sheet 25,No response,Total,50-74,Male
Spain,,,,,,,Sheet 25,No response,Total,50-74,Male
France,,,,,,,Sheet 25,No response,Total,50-74,Male
Croatia,,,,,,,Sheet 25,No response,Total,50-74,Male
Italy,,,,,,,Sheet 25,No response,Total,50-74,Male
Cyprus,,,,,,,Sheet 25,No response,Total,50-74,Male
Latvia,,,,,,,Sheet 25,No response,Total,50-74,Male
Lithuania,,,,,,,Sheet 25,No response,Total,50-74,Male
Luxembourg,,,,,,,Sheet 25,No response,Total,50-74,Male
Hungary,,,,,,,Sheet 25,No response,Total,50-74,Male
Malta,,,,,,,Sheet 25,No response,Total,50-74,Male
Netherlands,,,55.0,71.0,39.0,,Sheet 25,No response,Total,50-74,Male
Austria,,,,,,,Sheet 25,No response,Total,50-74,Male
Poland,,,,,,,Sheet 25,No response,Total,50-74,Male
Portugal,,,,,,,Sheet 25,No response,Total,50-74,Male
Romania,,,,,,,Sheet 25,No response,Total,50-74,Male
Slovenia,,,,,,,Sheet 25,No response,Total,50-74,Male
Slovakia,,,,,,,Sheet 25,No response,Total,50-74,Male
Finland,,,,,,,Sheet 25,No response,Total,50-74,Male
Sweden,,,,,,,Sheet 25,No response,Total,50-74,Male
Iceland,,,,,,,Sheet 25,No response,Total,50-74,Male
Norway,,,,,,,Sheet 25,No response,Total,50-74,Male
Switzerland,,,,,,,Sheet 25,No response,Total,50-74,Male
United Kingdom,,,,,,,Sheet 25,No response,Total,50-74,Male
Türkiye,,,,,,,Sheet 25,No response,Total,50-74,Male
European_Union_27_countries_from_2020,384.0,25277.0,41894.0,40767.0,10895.0,6531.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
European_Union_29_countries_from_2013-2020,5071.0,32197.0,52134.0,51944.0,16148.0,7814.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Euro_area_19_countries_2015-2022,2965.0,21382.0,32122.0,29721.0,888.0,5009.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Belgium,129.0,515.0,936.0,853.0,304.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Bulgaria,64.0,226.0,794.0,1167.0,111.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Czechia,8.0,343.0,807.0,118.0,205.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Denmark,55.0,465.0,703.0,585.0,15.0,53.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Germany,847.0,5447.0,890.0,8674.0,2384.0,2067.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Estonia,,149.0,272.0,138.0,,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Ireland,,251.0,462.0,451.0,185.0,295.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Greece,,621.0,693.0,619.0,6.0,109.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Spain,261.0,3157.0,443.0,3971.0,1335.0,93.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
France,927.0,3681.0,6267.0,6698.0,1898.0,577.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Croatia,,162.0,261.0,221.0,121.0,53.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Italy,109.0,2673.0,3162.0,2165.0,91.0,308.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Cyprus,,113.0,196.0,5.0,,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Latvia,,5.0,157.0,325.0,8.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Lithuania,,165.0,545.0,333.0,,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Luxembourg,,,51.0,,,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Hungary,102.0,211.0,671.0,1112.0,177.0,39.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Malta,,54.0,115.0,81.0,,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Netherlands,368.0,2525.0,3063.0,2702.0,1052.0,299.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Austria,,464.0,841.0,993.0,214.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Poland,402.0,1603.0,3712.0,3759.0,74.0,447.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Portugal,86.0,757.0,761.0,666.0,261.0,239.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Romania,,162.0,1592.0,1929.0,194.0,888.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Slovenia,,72.0,123.0,65.0,,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Slovakia,,152.0,401.0,306.0,,54.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Finland,65.0,512.0,748.0,602.0,94.0,74.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Sweden,,724.0,1232.0,1093.0,317.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Iceland,,121.0,7.0,,,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Norway,76.0,413.0,585.0,459.0,114.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Switzerland,52.0,759.0,806.0,745.0,264.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
United Kingdom,1231.0,692.0,10239.0,11178.0,5253.0,1283.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
Türkiye,,,,,,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Male
European_Union_27_countries_from_2020,15081.0,81553.0,132624.0,126021.0,37615.0,22501.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
European_Union_29_countries_from_2013-2020,21642.0,99175.0,159619.0,155092.0,53044.0,25981.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Euro_area_19_countries_2015-2022,11915.0,70153.0,103181.0,90833.0,31306.0,1728.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Belgium,522.0,1542.0,2709.0,2303.0,897.0,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Bulgaria,309.0,816.0,2817.0,4149.0,37.0,65.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Czechia,311.0,1191.0,2627.0,3983.0,882.0,97.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Denmark,212.0,1016.0,1817.0,1532.0,353.0,159.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Germany,2979.0,14658.0,25244.0,2347.0,809.0,6343.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Estonia,58.0,352.0,667.0,391.0,58.0,45.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Ireland,233.0,638.0,1249.0,132.0,466.0,632.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Greece,49.0,2261.0,3065.0,2287.0,31.0,614.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Spain,1244.0,13009.0,18195.0,1447.0,5888.0,4143.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
France,3039.0,11993.0,18603.0,18385.0,6045.0,1991.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Croatia,116.0,498.0,907.0,945.0,227.0,135.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Italy,90.0,1293.0,13079.0,10651.0,402.0,1296.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Cyprus,,343.0,539.0,172.0,,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Latvia,56.0,20.0,561.0,924.0,252.0,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Lithuania,51.0,471.0,1612.0,99.0,59.0,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Luxembourg,,63.0,114.0,69.0,,81.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Hungary,596.0,704.0,2171.0,3421.0,724.0,215.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Malta,36.0,16.0,271.0,225.0,39.0,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Netherlands,1573.0,5529.0,8005.0,7664.0,334.0,908.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Austria,235.0,1229.0,2231.0,2564.0,558.0,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Poland,1292.0,4605.0,10481.0,11254.0,2375.0,1773.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Portugal,442.0,2864.0,3196.0,2405.0,857.0,879.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Romania,,734.0,5185.0,6878.0,657.0,2631.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Slovenia,112.0,241.0,432.0,173.0,4.0,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Slovakia,82.0,476.0,1401.0,799.0,117.0,132.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Finland,263.0,1196.0,2007.0,1572.0,226.0,188.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Sweden,277.0,1836.0,3439.0,3027.0,721.0,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Iceland,,299.0,215.0,61.0,,64.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Norway,243.0,927.0,1603.0,106.0,277.0,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Switzerland,303.0,1987.0,2171.0,1988.0,628.0,16.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
United Kingdom,6561.0,17622.0,26996.0,29071.0,15429.0,348.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
Türkiye,,,,,,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Male
European_Union_27_countries_from_2020,13667.0,77536.0,128248.0,12250.0,36532.0,21748.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Male
European_Union_29_countries_from_2013-2020,19574.0,93661.0,153746.0,150446.0,51425.0,25011.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Male
Euro_area_19_countries_2015-2022,10725.0,6662.0,99575.0,88145.0,30396.0,16638.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Male
Belgium,488.0,1502.0,2661.0,2273.0,893.0,,Sheet 28,All ISCED 2011 levels,Cities,20-64,Male
Bulgaria,303.0,783.0,2687.0,4026.0,359.0,63.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Male
Czechia,275.0,1117.0,2521.0,3849.0,872.0,77.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Male
Denmark,181.0,912.0,1738.0,1462.0,339.0,138.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Male
Germany,259.0,13943.0,23953.0,22663.0,7799.0,6045.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Male
Estonia,54.0,332.0,639.0,369.0,55.0,45.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Male
Ireland,213.0,587.0,1193.0,128.0,452.0,601.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Male
Greece,47.0,2204.0,3027.0,2243.0,301.0,604.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Male
Spain,1189.0,12725.0,1793.0,14272.0,5784.0,4089.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Male
France,2774.0,11591.0,18189.0,1785.0,5879.0,1919.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Male
Croatia,11.0,476.0,898.0,912.0,227.0,127.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Male
Italy,841.0,12336.0,12696.0,10357.0,3905.0,1238.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Male
