Region,0,1+,30+,60+,No_response,sheet_name,education_level,urbanisation_degree,age_class,sex
Slovenia,,,,,,Sheet 117,ISCED 5–8,No response,15-74,Female
Slovakia,,,,,,Sheet 117,ISCED 5–8,No response,15-74,Female
Finland,,,,,,Sheet 117,ISCED 5–8,No response,15-74,Female
Sweden,,,,,,Sheet 117,ISCED 5–8,No response,15-74,Female
Iceland,,,,,,Sheet 117,ISCED 5–8,No response,15-74,Female
Norway,,,,,,Sheet 117,ISCED 5–8,No response,15-74,Female
Switzerland,,,,,,Sheet 117,ISCED 5–8,No response,15-74,Female
United Kingdom,,,,,,Sheet 117,ISCED 5–8,No response,15-74,Female
Türkiye,451.0,27559.0,11827.0,2749.0,,Sheet 117,ISCED 5–8,No response,15-74,Female
European_Union_27_countries_from_2020,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
European_Union_29_countries_from_2013-2020,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Euro_area_19_countries_2015-2022,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Belgium,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Bulgaria,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Czechia,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Denmark,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Germany,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Estonia,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Ireland,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Greece,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Spain,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
France,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Croatia,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Italy,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Cyprus,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Latvia,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Lithuania,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Luxembourg,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Hungary,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Malta,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Netherlands,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Austria,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Poland,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Portugal,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Romania,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Slovenia,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Slovakia,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Finland,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Sweden,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Iceland,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Norway,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Switzerland,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
United Kingdom,,,,,,Sheet 118,ISCED 5–8,No response,20-64,Female
Türkiye,451.0,27487.0,11779.0,2749.0,,Sheet 118,ISCED 5–8,No response,20-64,Female
European_Union_27_countries_from_2020,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
European_Union_29_countries_from_2013-2020,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Euro_area_19_countries_2015-2022,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Belgium,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Bulgaria,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Czechia,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Denmark,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Germany,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Estonia,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Ireland,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Greece,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Spain,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
France,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Croatia,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Italy,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Cyprus,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Latvia,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Lithuania,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Luxembourg,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Hungary,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Malta,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Netherlands,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Austria,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Poland,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Portugal,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Romania,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Slovenia,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Slovakia,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Finland,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Sweden,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Iceland,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Norway,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Switzerland,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
United Kingdom,,,,,,Sheet 119,ISCED 5–8,No response,35-49,Female
Türkiye,182.0,9165.0,3582.0,831.0,,Sheet 119,ISCED 5–8,No response,35-49,Female
European_Union_27_countries_from_2020,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
European_Union_29_countries_from_2013-2020,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Euro_area_19_countries_2015-2022,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Belgium,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Bulgaria,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Czechia,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Denmark,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Germany,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Estonia,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Ireland,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Greece,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Spain,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
France,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Croatia,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Italy,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Cyprus,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Latvia,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Lithuania,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Luxembourg,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Hungary,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Malta,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Netherlands,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Austria,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Poland,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Portugal,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Romania,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Slovenia,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Slovakia,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Finland,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Sweden,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Iceland,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Norway,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Switzerland,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
United Kingdom,,,,,,Sheet 120,ISCED 5–8,No response,50-74,Female
Türkiye,61.0,157.0,533.0,105.0,,Sheet 120,ISCED 5–8,No response,50-74,Female
European_Union_27_countries_from_2020,,,,,,Sheet 121,No response,No response,15-34,Female
European_Union_29_countries_from_2013-2020,,,,,,Sheet 121,No response,No response,15-34,Female
Euro_area_19_countries_2015-2022,,,,,,Sheet 121,No response,No response,15-34,Female
Belgium,,,,,,Sheet 121,No response,No response,15-34,Female
Bulgaria,,,,,,Sheet 121,No response,No response,15-34,Female
Czechia,,,,,,Sheet 121,No response,No response,15-34,Female
Denmark,,,,,,Sheet 121,No response,No response,15-34,Female
Germany,,,,,,Sheet 121,No response,No response,15-34,Female
Estonia,,,,,,Sheet 121,No response,No response,15-34,Female
Ireland,,,,,,Sheet 121,No response,No response,15-34,Female
Greece,,,,,,Sheet 121,No response,No response,15-34,Female
Spain,,,,,,Sheet 121,No response,No response,15-34,Female
France,,,,,,Sheet 121,No response,No response,15-34,Female
Croatia,,,,,,Sheet 121,No response,No response,15-34,Female
Italy,,,,,,Sheet 121,No response,No response,15-34,Female
Cyprus,,,,,,Sheet 121,No response,No response,15-34,Female
Latvia,,,,,,Sheet 121,No response,No response,15-34,Female
Lithuania,,,,,,Sheet 121,No response,No response,15-34,Female
Luxembourg,,,,,,Sheet 121,No response,No response,15-34,Female
Hungary,,,,,,Sheet 121,No response,No response,15-34,Female
Malta,,,,,,Sheet 121,No response,No response,15-34,Female
Netherlands,,,,,,Sheet 121,No response,No response,15-34,Female
Austria,,,,,,Sheet 121,No response,No response,15-34,Female
Poland,,,,,,Sheet 121,No response,No response,15-34,Female
Portugal,,,,,,Sheet 121,No response,No response,15-34,Female
Romania,,,,,,Sheet 121,No response,No response,15-34,Female
Slovenia,,,,,,Sheet 121,No response,No response,15-34,Female
Slovakia,,,,,,Sheet 121,No response,No response,15-34,Female
Finland,,,,,,Sheet 121,No response,No response,15-34,Female
Sweden,,,,,,Sheet 121,No response,No response,15-34,Female
Iceland,,,,,,Sheet 121,No response,No response,15-34,Female
Norway,,,,,,Sheet 121,No response,No response,15-34,Female
Switzerland,,,,,,Sheet 121,No response,No response,15-34,Female
United Kingdom,,,,,,Sheet 121,No response,No response,15-34,Female
Türkiye,,,,,,Sheet 121,No response,No response,15-34,Female
European_Union_27_countries_from_2020,,,,,,Sheet 122,No response,No response,15-74,Female
European_Union_29_countries_from_2013-2020,,,,,,Sheet 122,No response,No response,15-74,Female
Euro_area_19_countries_2015-2022,,,,,,Sheet 122,No response,No response,15-74,Female
Belgium,,,,,,Sheet 122,No response,No response,15-74,Female
Bulgaria,,,,,,Sheet 122,No response,No response,15-74,Female
Czechia,,,,,,Sheet 122,No response,No response,15-74,Female
Denmark,,,,,,Sheet 122,No response,No response,15-74,Female
Germany,,,,,,Sheet 122,No response,No response,15-74,Female
Estonia,,,,,,Sheet 122,No response,No response,15-74,Female
Ireland,,,,,,Sheet 122,No response,No response,15-74,Female
Greece,,,,,,Sheet 122,No response,No response,15-74,Female
Spain,,,,,,Sheet 122,No response,No response,15-74,Female
France,,,,,,Sheet 122,No response,No response,15-74,Female
Croatia,,,,,,Sheet 122,No response,No response,15-74,Female
Italy,,,,,,Sheet 122,No response,No response,15-74,Female
Cyprus,,,,,,Sheet 122,No response,No response,15-74,Female
Latvia,,,,,,Sheet 122,No response,No response,15-74,Female
Lithuania,,,,,,Sheet 122,No response,No response,15-74,Female
Luxembourg,,,,,,Sheet 122,No response,No response,15-74,Female
Hungary,,,,,,Sheet 122,No response,No response,15-74,Female
Malta,,,,,,Sheet 122,No response,No response,15-74,Female
Netherlands,,,,,,Sheet 122,No response,No response,15-74,Female
Austria,,,,,,Sheet 122,No response,No response,15-74,Female
Poland,,,,,,Sheet 122,No response,No response,15-74,Female
Portugal,,,,,,Sheet 122,No response,No response,15-74,Female
Romania,,,,,,Sheet 122,No response,No response,15-74,Female
Slovenia,,,,,,Sheet 122,No response,No response,15-74,Female
Slovakia,,,,,,Sheet 122,No response,No response,15-74,Female
Finland,,,,,,Sheet 122,No response,No response,15-74,Female
Sweden,,,,,,Sheet 122,No response,No response,15-74,Female
Iceland,,,,,,Sheet 122,No response,No response,15-74,Female
Norway,,,,,,Sheet 122,No response,No response,15-74,Female
Switzerland,,,,,,Sheet 122,No response,No response,15-74,Female
United Kingdom,,,,,,Sheet 122,No response,No response,15-74,Female
Türkiye,,,,,,Sheet 122,No response,No response,15-74,Female
European_Union_27_countries_from_2020,,,,,,Sheet 123,No response,No response,20-64,Female
European_Union_29_countries_from_2013-2020,,,,,,Sheet 123,No response,No response,20-64,Female
Euro_area_19_countries_2015-2022,,,,,,Sheet 123,No response,No response,20-64,Female
Belgium,,,,,,Sheet 123,No response,No response,20-64,Female
Bulgaria,,,,,,Sheet 123,No response,No response,20-64,Female
Czechia,,,,,,Sheet 123,No response,No response,20-64,Female
Denmark,,,,,,Sheet 123,No response,No response,20-64,Female
Germany,,,,,,Sheet 123,No response,No response,20-64,Female
Estonia,,,,,,Sheet 123,No response,No response,20-64,Female
Ireland,,,,,,Sheet 123,No response,No response,20-64,Female
Greece,,,,,,Sheet 123,No response,No response,20-64,Female
Spain,,,,,,Sheet 123,No response,No response,20-64,Female
France,,,,,,Sheet 123,No response,No response,20-64,Female
Croatia,,,,,,Sheet 123,No response,No response,20-64,Female
Italy,,,,,,Sheet 123,No response,No response,20-64,Female
Cyprus,,,,,,Sheet 123,No response,No response,20-64,Female
Latvia,,,,,,Sheet 123,No response,No response,20-64,Female
Lithuania,,,,,,Sheet 123,No response,No response,20-64,Female
Luxembourg,,,,,,Sheet 123,No response,No response,20-64,Female
Hungary,,,,,,Sheet 123,No response,No response,20-64,Female
Malta,,,,,,Sheet 123,No response,No response,20-64,Female
Netherlands,,,,,,Sheet 123,No response,No response,20-64,Female
Austria,,,,,,Sheet 123,No response,No response,20-64,Female
Poland,,,,,,Sheet 123,No response,No response,20-64,Female
Portugal,,,,,,Sheet 123,No response,No response,20-64,Female
Romania,,,,,,Sheet 123,No response,No response,20-64,Female
Slovenia,,,,,,Sheet 123,No response,No response,20-64,Female
Slovakia,,,,,,Sheet 123,No response,No response,20-64,Female
Finland,,,,,,Sheet 123,No response,No response,20-64,Female
Sweden,,,,,,Sheet 123,No response,No response,20-64,Female
Iceland,,,,,,Sheet 123,No response,No response,20-64,Female
Norway,,,,,,Sheet 123,No response,No response,20-64,Female
Switzerland,,,,,,Sheet 123,No response,No response,20-64,Female
United Kingdom,,,,,,Sheet 123,No response,No response,20-64,Female
Türkiye,,,,,,Sheet 123,No response,No response,20-64,Female
European_Union_27_countries_from_2020,,,,,,Sheet 124,No response,No response,35-49,Female
European_Union_29_countries_from_2013-2020,,,,,,Sheet 124,No response,No response,35-49,Female
Euro_area_19_countries_2015-2022,,,,,,Sheet 124,No response,No response,35-49,Female
Belgium,,,,,,Sheet 124,No response,No response,35-49,Female
Bulgaria,,,,,,Sheet 124,No response,No response,35-49,Female
Czechia,,,,,,Sheet 124,No response,No response,35-49,Female
Denmark,,,,,,Sheet 124,No response,No response,35-49,Female
Germany,,,,,,Sheet 124,No response,No response,35-49,Female
Estonia,,,,,,Sheet 124,No response,No response,35-49,Female
Ireland,,,,,,Sheet 124,No response,No response,35-49,Female
Greece,,,,,,Sheet 124,No response,No response,35-49,Female
Spain,,,,,,Sheet 124,No response,No response,35-49,Female
France,,,,,,Sheet 124,No response,No response,35-49,Female
Croatia,,,,,,Sheet 124,No response,No response,35-49,Female
Italy,,,,,,Sheet 124,No response,No response,35-49,Female
Cyprus,,,,,,Sheet 124,No response,No response,35-49,Female
Latvia,,,,,,Sheet 124,No response,No response,35-49,Female
Lithuania,,,,,,Sheet 124,No response,No response,35-49,Female
Luxembourg,,,,,,Sheet 124,No response,No response,35-49,Female
Hungary,,,,,,Sheet 124,No response,No response,35-49,Female
Malta,,,,,,Sheet 124,No response,No response,35-49,Female
Netherlands,,,,,,Sheet 124,No response,No response,35-49,Female
Austria,,,,,,Sheet 124,No response,No response,35-49,Female
Poland,,,,,,Sheet 124,No response,No response,35-49,Female
Portugal,,,,,,Sheet 124,No response,No response,35-49,Female
Romania,,,,,,Sheet 124,No response,No response,35-49,Female
Slovenia,,,,,,Sheet 124,No response,No response,35-49,Female
Slovakia,,,,,,Sheet 124,No response,No response,35-49,Female
Finland,,,,,,Sheet 124,No response,No response,35-49,Female
Sweden,,,,,,Sheet 124,No response,No response,35-49,Female
Iceland,,,,,,Sheet 124,No response,No response,35-49,Female
Norway,,,,,,Sheet 124,No response,No response,35-49,Female
Switzerland,,,,,,Sheet 124,No response,No response,35-49,Female
United Kingdom,,,,,,Sheet 124,No response,No response,35-49,Female
Türkiye,,,,,,Sheet 124,No response,No response,35-49,Female
European_Union_27_countries_from_2020,,,,,,Sheet 125,No response,No response,50-74,Female
European_Union_29_countries_from_2013-2020,,,,,,Sheet 125,No response,No response,50-74,Female
Euro_area_19_countries_2015-2022,,,,,,Sheet 125,No response,No response,50-74,Female
Belgium,,,,,,Sheet 125,No response,No response,50-74,Female
Bulgaria,,,,,,Sheet 125,No response,No response,50-74,Female
Czechia,,,,,,Sheet 125,No response,No response,50-74,Female
Denmark,,,,,,Sheet 125,No response,No response,50-74,Female
Germany,,,,,,Sheet 125,No response,No response,50-74,Female
Estonia,,,,,,Sheet 125,No response,No response,50-74,Female
Ireland,,,,,,Sheet 125,No response,No response,50-74,Female
Greece,,,,,,Sheet 125,No response,No response,50-74,Female
Spain,,,,,,Sheet 125,No response,No response,50-74,Female
France,,,,,,Sheet 125,No response,No response,50-74,Female
Croatia,,,,,,Sheet 125,No response,No response,50-74,Female
Italy,,,,,,Sheet 125,No response,No response,50-74,Female
Cyprus,,,,,,Sheet 125,No response,No response,50-74,Female
Latvia,,,,,,Sheet 125,No response,No response,50-74,Female
Lithuania,,,,,,Sheet 125,No response,No response,50-74,Female
Luxembourg,,,,,,Sheet 125,No response,No response,50-74,Female
Hungary,,,,,,Sheet 125,No response,No response,50-74,Female
Malta,,,,,,Sheet 125,No response,No response,50-74,Female
Netherlands,,,,,,Sheet 125,No response,No response,50-74,Female
Austria,,,,,,Sheet 125,No response,No response,50-74,Female
Poland,,,,,,Sheet 125,No response,No response,50-74,Female
Portugal,,,,,,Sheet 125,No response,No response,50-74,Female
Romania,,,,,,Sheet 125,No response,No response,50-74,Female
Slovenia,,,,,,Sheet 125,No response,No response,50-74,Female
Slovakia,,,,,,Sheet 125,No response,No response,50-74,Female
Finland,,,,,,Sheet 125,No response,No response,50-74,Female
Sweden,,,,,,Sheet 125,No response,No response,50-74,Female
Iceland,,,,,,Sheet 125,No response,No response,50-74,Female
Norway,,,,,,Sheet 125,No response,No response,50-74,Female
Switzerland,,,,,,Sheet 125,No response,No response,50-74,Female
United Kingdom,,,,,,Sheet 125,No response,No response,50-74,Female
Türkiye,,,,,,Sheet 125,No response,No response,50-74,Female
European_Union_27_countries_from_2020,8953.0,287224.0,110062.0,25765.0,16104.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
European_Union_29_countries_from_2013-2020,10906.0,342949.0,135592.0,33953.0,17937.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Euro_area_19_countries_2015-2022,6242.0,213831.0,7873.0,19394.0,11153.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Belgium,484.0,7443.0,3293.0,942.0,49.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Bulgaria,116.0,4428.0,2087.0,269.0,61.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Czechia,212.0,7924.0,3591.0,835.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Denmark,145.0,4729.0,1863.0,49.0,161.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Germany,1524.0,61053.0,24071.0,5882.0,4727.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Estonia,,1064.0,326.0,6.0,36.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Ireland,152.0,3111.0,1329.0,412.0,612.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Greece,,5005.0,1188.0,10.0,397.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Spain,488.0,23719.0,8533.0,2212.0,1794.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
France,161.0,40202.0,15793.0,3849.0,1143.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Croatia,92.0,268.0,985.0,214.0,142.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Italy,394.0,28623.0,8136.0,2234.0,1007.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Cyprus,,714.0,137.0,,,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Latvia,,140.0,899.0,236.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Lithuania,76.0,2141.0,772.0,116.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Luxembourg,,384.0,182.0,37.0,126.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Hungary,299.0,6718.0,3613.0,849.0,275.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Malta,,563.0,248.0,54.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Netherlands,679.0,15594.0,5861.0,1659.0,433.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Austria,127.0,7635.0,2948.0,606.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Poland,1336.0,26577.0,10393.0,1985.0,1551.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Portugal,192.0,5516.0,1707.0,413.0,575.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Romania,271.0,11797.0,555.0,856.0,2597.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Slovenia,195.0,137.0,501.0,99.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Slovakia,114.0,426.0,1503.0,246.0,111.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Finland,106.0,4035.0,1303.0,22.0,144.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Sweden,239.0,8539.0,3248.0,873.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Iceland,,366.0,59.0,,41.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Norway,243.0,4651.0,1611.0,501.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Switzerland,133.0,8047.0,3279.0,849.0,48.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
United Kingdom,1953.0,55725.0,2553.0,8189.0,1833.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
Türkiye,1518.0,73385.0,29822.0,6765.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Male
European_Union_27_countries_from_2020,42881.0,973029.0,373835.0,93096.0,58948.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
European_Union_29_countries_from_2013-2020,5551.0,1126473.0,446836.0,11909.0,64365.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Euro_area_19_countries_2015-2022,31738.0,737062.0,273588.0,72272.0,42335.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Belgium,2228.0,23275.0,10649.0,3226.0,86.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Bulgaria,622.0,16519.0,7375.0,877.0,162.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Czechia,905.0,28192.0,12506.0,3079.0,324.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Denmark,87.0,13886.0,5772.0,1494.0,503.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Germany,8633.0,19592.0,79569.0,20516.0,16769.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Estonia,132.0,3125.0,1032.0,208.0,144.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Ireland,1075.0,9566.0,4284.0,1363.0,1694.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Greece,155.0,20756.0,4718.0,614.0,1899.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Spain,2481.0,96937.0,33901.0,9821.0,7963.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
France,7347.0,127772.0,51033.0,12999.0,455.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Croatia,599.0,8244.0,3062.0,637.0,336.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Italy,2312.0,127621.0,39048.0,11278.0,4251.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Cyprus,55.0,2133.0,457.0,75.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Latvia,117.0,4385.0,2512.0,677.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Lithuania,255.0,6593.0,2255.0,336.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Luxembourg,49.0,1072.0,513.0,99.0,441.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Hungary,1561.0,2220.0,11016.0,2754.0,96.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Malta,59.0,1431.0,588.0,11.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Netherlands,3219.0,4280.0,18701.0,5693.0,161.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Austria,887.0,22155.0,8522.0,1979.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Poland,477.0,80525.0,31678.0,6557.0,5349.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Portugal,1037.0,21367.0,5984.0,1464.0,2137.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Romania,1042.0,40893.0,18727.0,2751.0,8328.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Slovenia,77.0,4581.0,1519.0,344.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Slovakia,438.0,13358.0,4324.0,767.0,307.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Finland,489.0,12214.0,3978.0,705.0,476.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Sweden,775.0,25509.0,10112.0,2674.0,65.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Iceland,,962.0,14.0,37.0,104.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Norway,968.0,13452.0,4849.0,1633.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Switzerland,958.0,23469.0,900.0,2467.0,433.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
United Kingdom,12629.0,153444.0,7300.0,25994.0,5416.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Türkiye,5251.0,185543.0,69596.0,15555.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
European_Union_27_countries_from_2020,3846.0,934493.0,363101.0,90179.0,56284.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
European_Union_29_countries_from_2013-2020,4958.0,1078472.0,432879.0,115053.0,61309.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Euro_area_19_countries_2015-2022,28168.0,706477.0,265262.0,69895.0,40431.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Belgium,211.0,22813.0,10502.0,3187.0,85.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
