Region,0,1-9,10-14,15-19,20-29,30-44,45-59,60+,No_response,sheet_name,education_level,urbanisation_degree,age_class,sex
Germany,8633.0,26549.0,25122.0,25518.0,39162.0,43922.0,15131.0,20516.0,16769.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Estonia,132.0,371.0,531.0,532.0,659.0,65.0,174.0,208.0,144.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Ireland,1075.0,1246.0,1124.0,1042.0,1872.0,2191.0,729.0,1363.0,1694.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Greece,155.0,3293.0,5167.0,3753.0,3824.0,3293.0,811.0,614.0,1899.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Spain,2481.0,14928.0,16296.0,14111.0,17701.0,1940.0,468.0,9821.0,7963.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
France,7347.0,16773.0,1620.0,17933.0,25833.0,2693.0,11104.0,12999.0,455.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Croatia,599.0,1054.0,1311.0,1333.0,1484.0,1965.0,459.0,637.0,336.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Italy,2312.0,25293.0,24794.0,18245.0,20241.0,22776.0,4994.0,11278.0,4251.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Cyprus,55.0,289.0,403.0,427.0,557.0,309.0,74.0,75.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Latvia,117.0,251.0,393.0,406.0,821.0,143.0,406.0,677.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Lithuania,255.0,571.0,837.0,1081.0,1849.0,1769.0,15.0,336.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Luxembourg,49.0,87.0,11.0,122.0,241.0,305.0,109.0,99.0,441.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Hungary,1561.0,1466.0,3066.0,2454.0,4197.0,6626.0,1636.0,2754.0,96.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Malta,59.0,141.0,177.0,245.0,28.0,356.0,123.0,11.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Netherlands,3219.0,554.0,5099.0,5505.0,7954.0,875.0,4258.0,5693.0,161.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Austria,887.0,4034.0,2858.0,2863.0,3878.0,4752.0,1792.0,1979.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Poland,477.0,8867.0,1033.0,1314.0,16509.0,21399.0,3722.0,6557.0,5349.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Portugal,1037.0,4462.0,4103.0,3392.0,3425.0,3674.0,847.0,1464.0,2137.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Romania,1042.0,3343.0,3853.0,5392.0,9578.0,12298.0,3678.0,2751.0,8328.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Slovenia,77.0,667.0,698.0,785.0,912.0,938.0,237.0,344.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Slovakia,438.0,862.0,1953.0,2328.0,3892.0,3043.0,513.0,767.0,307.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Finland,489.0,2297.0,1732.0,1801.0,2406.0,2483.0,79.0,705.0,476.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Sweden,775.0,3636.0,3536.0,3915.0,431.0,542.0,2018.0,2674.0,65.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Iceland,,395.0,163.0,161.0,103.0,83.0,,37.0,104.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Norway,968.0,2379.0,197.0,1887.0,2368.0,2508.0,707.0,1633.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Switzerland,958.0,4148.0,3067.0,3116.0,4137.0,4808.0,1726.0,2467.0,433.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
United Kingdom,12629.0,16297.0,18753.0,16662.0,28731.0,34084.0,12922.0,25994.0,5416.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
Türkiye,5251.0,26708.0,2872.0,23435.0,37085.0,4465.0,9391.0,15555.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Male
European_Union_27_countries_from_2020,3846.0,123741.0,133556.0,132053.0,182042.0,209549.0,63373.0,90179.0,56284.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
European_Union_29_countries_from_2013-2020,4958.0,138422.0,150558.0,147483.0,20913.0,241964.0,75863.0,115053.0,61309.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Euro_area_19_countries_2015-2022,28168.0,102295.0,10497.0,98734.0,135217.0,147594.0,47773.0,69895.0,40431.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Belgium,211.0,2215.0,2646.0,2888.0,4561.0,515.0,2164.0,3187.0,85.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Bulgaria,594.0,452.0,2234.0,238.0,3688.0,522.0,1093.0,852.0,158.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Czechia,819.0,2266.0,3657.0,3854.0,5382.0,711.0,205.0,302.0,284.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Denmark,716.0,1665.0,1551.0,1588.0,2457.0,2892.0,1148.0,1427.0,429.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Germany,731.0,24125.0,23469.0,23989.0,3716.0,42251.0,14663.0,19506.0,15849.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Estonia,128.0,341.0,496.0,508.0,63.0,615.0,167.0,201.0,141.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Ireland,913.0,1145.0,1044.0,973.0,1805.0,2119.0,705.0,1326.0,1586.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Greece,143.0,3186.0,4983.0,3671.0,376.0,3224.0,797.0,598.0,1843.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Spain,2349.0,14528.0,15933.0,13883.0,17382.0,19099.0,4629.0,969.0,780.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
France,6773.0,15964.0,1553.0,17363.0,25062.0,26188.0,10879.0,12672.0,4389.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Croatia,53.0,1018.0,1264.0,131.0,1462.0,1885.0,457.0,637.0,325.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Italy,2101.0,24044.0,23929.0,17655.0,19725.0,22148.0,4849.0,1094.0,411.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Cyprus,48.0,269.0,376.0,411.0,536.0,296.0,74.0,74.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Latvia,111.0,231.0,372.0,395.0,778.0,1393.0,389.0,647.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Lithuania,224.0,543.0,798.0,1027.0,1763.0,1726.0,148.0,332.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Luxembourg,42.0,85.0,109.0,121.0,239.0,302.0,108.0,98.0,422.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Hungary,1473.0,1416.0,2978.0,2357.0,4115.0,6511.0,160.0,2697.0,929.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Malta,53.0,135.0,17.0,236.0,273.0,344.0,119.0,107.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Netherlands,2697.0,4131.0,4269.0,4935.0,7481.0,8283.0,4028.0,5441.0,1484.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Austria,793.0,3791.0,2715.0,2686.0,3716.0,4593.0,1728.0,1888.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Poland,4592.0,8388.0,9939.0,12863.0,16171.0,20919.0,367.0,6367.0,5231.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Portugal,79.0,4028.0,391.0,323.0,3305.0,3537.0,822.0,1425.0,2009.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Romania,866.0,2822.0,3595.0,519.0,9392.0,12133.0,3636.0,2728.0,7897.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Slovenia,729.0,654.0,683.0,778.0,903.0,926.0,235.0,338.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Slovakia,418.0,843.0,1904.0,2281.0,3825.0,2999.0,499.0,759.0,301.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Finland,436.0,2036.0,1633.0,1704.0,231.0,2399.0,768.0,665.0,404.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Sweden,702.0,342.0,3368.0,3777.0,4158.0,5286.0,1945.0,2556.0,599.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Iceland,,345.0,138.0,144.0,91.0,78.0,,36.0,98.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Norway,828.0,2126.0,1808.0,175.0,2211.0,237.0,681.0,1556.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Switzerland,732.0,3737.0,2865.0,2784.0,3948.0,4434.0,1661.0,2317.0,397.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
United Kingdom,1112.0,1468.0,17001.0,1543.0,27088.0,32414.0,1249.0,24874.0,5025.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
Türkiye,4577.0,23887.0,26262.0,21745.0,34213.0,4163.0,8941.0,1465.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Male
European_Union_27_countries_from_2020,14223.0,47341.0,51582.0,52413.0,71567.0,84651.0,25918.0,36973.0,22538.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
European_Union_29_countries_from_2013-2020,18428.0,52232.0,57237.0,57412.0,81032.0,96556.0,30491.0,47076.0,24186.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Euro_area_19_countries_2015-2022,10011.0,39079.0,40308.0,39069.0,52675.0,58087.0,19137.0,28353.0,15754.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Belgium,80.0,85.0,992.0,1127.0,1715.0,2031.0,867.0,1297.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Bulgaria,261.0,205.0,911.0,986.0,1508.0,2204.0,443.0,372.0,64.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Czechia,352.0,1027.0,1465.0,1638.0,2285.0,3253.0,848.0,1385.0,122.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Denmark,269.0,567.0,551.0,593.0,881.0,108.0,413.0,456.0,135.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Germany,2422.0,7716.0,8069.0,8528.0,12401.0,14642.0,5057.0,6741.0,5447.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Estonia,57.0,121.0,183.0,189.0,232.0,247.0,67.0,78.0,64.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Ireland,356.0,454.0,366.0,382.0,791.0,912.0,325.0,61.0,644.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Greece,8.0,1287.0,2085.0,1711.0,1767.0,1503.0,338.0,312.0,818.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Spain,1016.0,6523.0,6727.0,6091.0,8067.0,8364.0,2121.0,4546.0,3488.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
France,2288.0,6064.0,6012.0,7046.0,9888.0,10637.0,4738.0,5507.0,1914.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Croatia,225.0,405.0,449.0,538.0,54.0,788.0,212.0,228.0,126.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Italy,812.0,9872.0,9804.0,7149.0,8304.0,9625.0,2172.0,4785.0,161.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Cyprus,,112.0,126.0,154.0,179.0,113.0,,36.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Latvia,59.0,75.0,142.0,157.0,322.0,521.0,129.0,238.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Lithuania,83.0,174.0,269.0,422.0,618.0,568.0,4.0,115.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Luxembourg,,,45.0,46.0,96.0,135.0,48.0,43.0,18.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Hungary,714.0,597.0,1261.0,1009.0,1693.0,2668.0,727.0,1199.0,423.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Malta,,61.0,62.0,73.0,102.0,124.0,48.0,38.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Netherlands,804.0,136.0,1262.0,1638.0,2538.0,2936.0,1475.0,1915.0,51.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Austria,294.0,1334.0,943.0,1039.0,1321.0,1668.0,656.0,762.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Poland,1808.0,3196.0,3897.0,519.0,6445.0,8938.0,1692.0,2887.0,2298.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Portugal,255.0,1717.0,1644.0,135.0,1414.0,1467.0,419.0,595.0,796.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Romania,355.0,1111.0,1573.0,2182.0,3988.0,5598.0,1604.0,128.0,3387.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Slovenia,27.0,298.0,316.0,334.0,389.0,407.0,99.0,145.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Slovakia,18.0,367.0,763.0,981.0,1636.0,1228.0,203.0,361.0,12.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Finland,18.0,66.0,499.0,653.0,894.0,958.0,308.0,229.0,136.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Sweden,227.0,1154.0,1167.0,1208.0,1552.0,2036.0,842.0,812.0,23.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Iceland,,121.0,44.0,46.0,42.0,,,,,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Norway,329.0,75.0,638.0,609.0,816.0,879.0,227.0,561.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Switzerland,243.0,1345.0,93.0,1066.0,1302.0,1624.0,687.0,784.0,187.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
United Kingdom,4205.0,4891.0,5655.0,4999.0,9465.0,11904.0,4573.0,10103.0,1648.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
Türkiye,1624.0,9941.0,10959.0,9637.0,1454.0,17972.0,4172.0,6472.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Male
European_Union_27_countries_from_2020,19706.0,48632.0,47652.0,43334.0,59512.0,65637.0,20236.0,30358.0,20307.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
European_Union_29_countries_from_2013-2020,26176.0,53901.0,53413.0,48722.0,68332.0,75136.0,23924.0,38061.0,22242.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Euro_area_19_countries_2015-2022,15485.0,40305.0,38017.0,33346.0,45574.0,48519.0,16236.0,24525.0,15429.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Belgium,944.0,733.0,836.0,815.0,1408.0,1518.0,655.0,987.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Bulgaria,245.0,162.0,879.0,866.0,1287.0,1735.0,298.0,236.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Czechia,341.0,77.0,1224.0,1232.0,1713.0,1952.0,618.0,859.0,176.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Denmark,455.0,638.0,549.0,567.0,903.0,100.0,411.0,548.0,206.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Germany,4688.0,10206.0,9057.0,8977.0,14416.0,15584.0,5581.0,7893.0,6595.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Estonia,51.0,133.0,16.0,141.0,198.0,189.0,55.0,7.0,44.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Ireland,566.0,432.0,327.0,282.0,467.0,56.0,207.0,341.0,438.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Greece,59.0,1255.0,1792.0,1177.0,1147.0,925.0,252.0,201.0,684.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Spain,977.0,5021.0,5645.0,4445.0,533.0,578.0,1493.0,3063.0,2681.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
France,3449.0,5676.0,5089.0,511.0,7445.0,7501.0,3214.0,3643.0,1493.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Croatia,282.0,375.0,401.0,392.0,388.0,527.0,127.0,194.0,68.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Italy,1106.0,10069.0,9306.0,6574.0,7007.0,8307.0,1764.0,4259.0,1634.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Cyprus,,96.0,128.0,122.0,182.0,101.0,,,,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Latvia,37.0,105.0,153.0,166.0,25.0,396.0,127.0,203.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Lithuania,97.0,211.0,315.0,368.0,592.0,601.0,55.0,105.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Luxembourg,,,,,55.0,64.0,,,135.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Hungary,548.0,486.0,1046.0,742.0,1246.0,1749.0,352.0,707.0,262.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Malta,,35.0,54.0,68.0,73.0,84.0,,,,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Netherlands,1737.0,168.0,1541.0,165.0,2697.0,2867.0,1527.0,2119.0,667.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Austria,466.0,143.0,90.0,803.0,1178.0,1318.0,559.0,61.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Poland,1627.0,3343.0,3088.0,3372.0,4131.0,5214.0,868.0,1685.0,150.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Portugal,59.0,1761.0,1365.0,1196.0,1127.0,1094.0,247.0,455.0,766.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Romania,416.0,1366.0,1289.0,1578.0,2831.0,3232.0,848.0,615.0,2345.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Slovenia,305.0,17.0,201.0,223.0,262.0,198.0,67.0,10.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Slovakia,144.0,288.0,581.0,676.0,985.0,756.0,114.0,16.0,76.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Finland,203.0,977.0,542.0,522.0,756.0,677.0,248.0,256.0,196.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Sweden,308.0,1189.0,116.0,1238.0,1439.0,1708.0,477.0,99.0,283.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Iceland,,128.0,54.0,54.0,,,,,,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Norway,396.0,80.0,63.0,613.0,71.0,737.0,262.0,572.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Switzerland,582.0,1639.0,1064.0,1072.0,1283.0,137.0,424.0,833.0,198.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
United Kingdom,6471.0,5269.0,5761.0,5388.0,882.0,950.0,3688.0,7703.0,1935.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
Türkiye,2109.0,8232.0,7277.0,4591.0,7207.0,7461.0,1379.0,2317.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Male
European_Union_27_countries_from_2020,1139.0,8267.0,8674.0,7598.0,8915.0,10266.0,2438.0,4324.0,3909.0,Sheet 6,ISCED 0–2,Total,15-34,Male
European_Union_29_countries_from_2013-2020,1349.0,9477.0,10063.0,8671.0,10695.0,12042.0,2984.0,5345.0,4412.0,Sheet 6,ISCED 0–2,Total,15-34,Male
Euro_area_19_countries_2015-2022,837.0,7089.0,7568.0,6207.0,7307.0,8328.0,1966.0,3589.0,3039.0,Sheet 6,ISCED 0–2,Total,15-34,Male
Belgium,53.0,132.0,166.0,203.0,252.0,265.0,59.0,129.0,,Sheet 6,ISCED 0–2,Total,15-34,Male
Bulgaria,,,88.0,116.0,142.0,163.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Male
Czechia,,54.0,75.0,86.0,154.0,153.0,45.0,6.0,,Sheet 6,ISCED 0–2,Total,15-34,Male
Denmark,,282.0,21.0,212.0,212.0,214.0,76.0,121.0,62.0,Sheet 6,ISCED 0–2,Total,15-34,Male
Germany,,1661.0,1852.0,1485.0,240.0,2625.0,812.0,1176.0,145.0,Sheet 6,ISCED 0–2,Total,15-34,Male
Estonia,,,,,,39.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Male
Ireland,,,,,45.0,47.0,,,44.0,Sheet 6,ISCED 0–2,Total,15-34,Male
Greece,,81.0,136.0,63.0,109.0,65.0,,,55.0,Sheet 6,ISCED 0–2,Total,15-34,Male
Spain,13.0,1271.0,1383.0,1277.0,128.0,1621.0,246.0,615.0,645.0,Sheet 6,ISCED 0–2,Total,15-34,Male
France,,683.0,875.0,556.0,859.0,1062.0,,596.0,,Sheet 6,ISCED 0–2,Total,15-34,Male
Croatia,,,,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Male
Italy,55.0,1295.0,1601.0,1285.0,1155.0,1163.0,217.0,49.0,257.0,Sheet 6,ISCED 0–2,Total,15-34,Male
Cyprus,,,,,36.0,,,,,Sheet 6,ISCED 0–2,Total,15-34,Male
Latvia,,,,,5.0,59.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Male
Lithuania,,,,36.0,36.0,39.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Male
Luxembourg,,,,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Male
Hungary,,5.0,127.0,95.0,147.0,256.0,48.0,133.0,38.0,Sheet 6,ISCED 0–2,Total,15-34,Male
Malta,,,,,,4.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Male
Netherlands,173.0,1128.0,78.0,545.0,475.0,479.0,157.0,16.0,112.0,Sheet 6,ISCED 0–2,Total,15-34,Male
Austria,,219.0,169.0,226.0,171.0,31.0,85.0,135.0,,Sheet 6,ISCED 0–2,Total,15-34,Male
Poland,69.0,139.0,209.0,346.0,358.0,443.0,,208.0,144.0,Sheet 6,ISCED 0–2,Total,15-34,Male
Portugal,,362.0,328.0,287.0,227.0,34.0,,11.0,181.0,Sheet 6,ISCED 0–2,Total,15-34,Male
Romania,106.0,447.0,248.0,375.0,40.0,581.0,188.0,118.0,589.0,Sheet 6,ISCED 0–2,Total,15-34,Male
Slovenia,,,,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Male
Slovakia,,,5.0,,61.0,,,,,Sheet 6,ISCED 0–2,Total,15-34,Male
Finland,,114.0,72.0,68.0,69.0,10.0,,49.0,43.0,Sheet 6,ISCED 0–2,Total,15-34,Male
Sweden,,,,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Male
Iceland,,55.0,,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Male
Norway,73.0,254.0,171.0,146.0,194.0,20.0,,124.0,,Sheet 6,ISCED 0–2,Total,15-34,Male
Switzerland,,171.0,194.0,311.0,186.0,367.0,105.0,187.0,,Sheet 6,ISCED 0–2,Total,15-34,Male
United Kingdom,21.0,121.0,1389.0,1073.0,1779.0,1776.0,546.0,1021.0,503.0,Sheet 6,ISCED 0–2,Total,15-34,Male
Türkiye,988.0,4069.0,483.0,4077.0,7216.0,853.0,1439.0,2937.0,,Sheet 6,ISCED 0–2,Total,15-34,Male
European_Union_27_countries_from_2020,5903.0,33092.0,33172.0,27187.0,32679.0,34928.0,8549.0,14913.0,14783.0,Sheet 7,ISCED 0–2,Total,15-74,Male
European_Union_29_countries_from_2013-2020,7714.0,37353.0,37713.0,31079.0,38669.0,40859.0,10335.0,18906.0,16348.0,Sheet 7,ISCED 0–2,Total,15-74,Male
Euro_area_19_countries_2015-2022,4518.0,29404.0,2955.0,23556.0,27864.0,29354.0,7323.0,1295.0,12166.0,Sheet 7,ISCED 0–2,Total,15-74,Male
Belgium,324.0,475.0,677.0,669.0,955.0,922.0,319.0,439.0,,Sheet 7,ISCED 0–2,Total,15-74,Male
Bulgaria,102.0,92.0,375.0,402.0,557.0,625.0,119.0,125.0,,Sheet 7,ISCED 0–2,Total,15-74,Male
Czechia,,126.0,177.0,179.0,301.0,263.0,81.0,111.0,,Sheet 7,ISCED 0–2,Total,15-74,Male
Denmark,151.0,551.0,418.0,413.0,513.0,541.0,193.0,284.0,134.0,Sheet 7,ISCED 0–2,Total,15-74,Male
Germany,,3306.0,4078.0,3101.0,5191.0,5273.0,1501.0,2378.0,3329.0,Sheet 7,ISCED 0–2,Total,15-74,Male
Estonia,,6.0,59.0,53.0,65.0,9.0,,41.0,,Sheet 7,ISCED 0–2,Total,15-74,Male
Ireland,278.0,268.0,204.0,176.0,237.0,276.0,64.0,136.0,244.0,Sheet 7,ISCED 0–2,Total,15-74,Male
Greece,,804.0,1211.0,78.0,691.0,48.0,87.0,5.0,507.0,Sheet 7,ISCED 0–2,Total,15-74,Male
Spain,666.0,6337.0,6219.0,5258.0,5895.0,637.0,1301.0,3294.0,3567.0,Sheet 7,ISCED 0–2,Total,15-74,Male
France,857.0,2708.0,2943.0,2725.0,3553.0,4009.0,155.0,1903.0,86.0,Sheet 7,ISCED 0–2,Total,15-74,Male
Croatia,97.0,76.0,97.0,93.0,13.0,111.0,,58.0,,Sheet 7,ISCED 0–2,Total,15-74,Male
Italy,542.0,9754.0,957.0,673.0,7104.0,7492.0,1243.0,2931.0,1776.0,Sheet 7,ISCED 0–2,Total,15-74,Male
Cyprus,,48.0,73.0,63.0,13.0,4.0,,,,Sheet 7,ISCED 0–2,Total,15-74,Male
Latvia,,39.0,46.0,49.0,115.0,122.0,36.0,65.0,,Sheet 7,ISCED 0–2,Total,15-74,Male
Lithuania,,52.0,5.0,57.0,66.0,94.0,,,,Sheet 7,ISCED 0–2,Total,15-74,Male
Luxembourg,,,,,,61.0,,,82.0,Sheet 7,ISCED 0–2,Total,15-74,Male
Hungary,109.0,201.0,45.0,311.0,479.0,699.0,139.0,323.0,114.0,Sheet 7,ISCED 0–2,Total,15-74,Male
Malta,,63.0,78.0,107.0,119.0,134.0,,,,Sheet 7,ISCED 0–2,Total,15-74,Male
Netherlands,584.0,1909.0,1425.0,1294.0,1397.0,1468.0,497.0,615.0,384.0,Sheet 7,ISCED 0–2,Total,15-74,Male
Austria,97.0,469.0,364.0,407.0,389.0,545.0,158.0,252.0,,Sheet 7,ISCED 0–2,Total,15-74,Male
Poland,384.0,724.0,694.0,791.0,894.0,1136.0,127.0,328.0,421.0,Sheet 7,ISCED 0–2,Total,15-74,Male
Portugal,494.0,2611.0,2119.0,1721.0,1512.0,1535.0,331.0,597.0,1251.0,Sheet 7,ISCED 0–2,Total,15-74,Male
Romania,40.0,1393.0,946.0,1033.0,135.0,1607.0,44.0,477.0,1798.0,Sheet 7,ISCED 0–2,Total,15-74,Male
Slovenia,102.0,5.0,62.0,55.0,48.0,97.0,,,,Sheet 7,ISCED 0–2,Total,15-74,Male
Slovakia,,56.0,159.0,98.0,158.0,101.0,,4.0,,Sheet 7,ISCED 0–2,Total,15-74,Male
Finland,38.0,377.0,193.0,185.0,206.0,247.0,85.0,101.0,115.0,Sheet 7,ISCED 0–2,Total,15-74,Male
Sweden,,524.0,466.0,409.0,591.0,592.0,,259.0,,Sheet 7,ISCED 0–2,Total,15-74,Male
Iceland,,116.0,39.0,4.0,,,,,,Sheet 7,ISCED 0–2,Total,15-74,Male
